Contrast_Metric,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Late_Four_Class_D_Change,-0.0892186926097087,0.8194464940123183,0.0669461927004578,0.8641266713551774,-0.1496402017325225,0.70078676477967,0.2166666666666666,0.5755148957119259
Late_Hand_vs_NonHand_D_Change,0.1469616215717771,0.7059484184342656,0.3765723339400754,0.3178226816985236,0.0506464222846636,0.8970442452265521,0.5,0.1704706607870537
Late_Left_vs_Right_D_Change,-0.1734050767522205,0.6554745870518163,-0.075314466788015,0.8472940220818164,-0.2128126184272556,0.5824922092346471,-0.0833333333333333,0.831214097710308
Late_Left_vs_Others_D_Change,-0.0773893033744831,0.8431285361330826,0.0502096445253433,0.8979283954703233,-0.0868785272645137,0.824121973194391,0.1999999999999999,0.6059012741795533
Late_Right_vs_Others_D_Change,0.033459218238593,0.93190099937584,-0.1506289335760301,0.6988841292948215,-0.1519855549931129,0.6962759169682441,-0.1166666666666666,0.7650079429261462
