Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Four_Class_D,Clean_Four_Class_D,Delta_Four_Class_D,Raw_Hand_vs_NonHand_D,Clean_Hand_vs_NonHand_D,Delta_Hand_vs_NonHand_D,Raw_Left_vs_Right_D,Clean_Left_vs_Right_D,Delta_Left_vs_Right_D,Raw_Left_vs_Others_D,Clean_Left_vs_Others_D,Delta_Left_vs_Others_D,Raw_Right_vs_Others_D,Clean_Right_vs_Others_D,Delta_Right_vs_Others_D,Delta_Accuracy,Delta_F1
A08,Cz,0.8,1.3,1.05,0.007273511310549,0.0040172042337291,-0.0032563070768198,0.0008965839733992,0.0014812112868157,0.0005846273134165,0.007557664871201,1.0229071025515232e-05,-0.0075474358001755,0.0044740221179247,0.0005829302307467,-0.003891091887178,0.0009969042992738,0.000418549970401,-0.0005783543288728,0.0,-0.0021923887083538
A08,Cz,0.9,1.4,1.15,0.0089207075841491,0.0082538836665195,-0.0006668239176295,0.0026945346537137,2.9812942551350783e-05,-0.0026647217111623,0.0091738717756929,0.013215263505899,0.0040413917302061,0.0007187024689467,0.0053197437802237,0.0046010413112769,0.0075059093140837,0.0043380092482679,-0.0031679000658157,0.0,-0.0021923887083538
A08,Cz,1.0,1.5,1.25,0.0233157846664535,0.0191836163505217,-0.0041321683159318,1.340703076418692e-05,0.0003481463655193,0.0003347393347551,0.0331571489019522,0.0178505448696101,-0.0153066040323421,0.0106482081089631,0.0080957607243993,-0.0025524473845637,0.0113298422318581,0.0045372551285006,-0.0067925871033575,0.0,-0.0021923887083538
A08,Cz,1.1,1.6,1.35,0.0277851320273623,0.0150194777979287,-0.0127656542294335,0.0003659650072686,8.19851300227648e-05,-0.0002839798772459,0.006432539700807,0.002458979923954,-0.0039735597768529,0.0014897607747832,0.0006074906989265,-0.0008822700758567,0.0036422208785187,0.0012149867967627,-0.0024272340817559,0.0,-0.0021923887083538
A08,Cz,1.2000000000000002,1.7000000000000002,1.4500000000000002,0.0245867424408852,0.0062459834698635,-0.0183407589710217,0.0219292048774695,0.0043514614900087,-0.0175777433874608,0.00136968454429,6.0282271957114594e-05,-0.0013094022723329,0.0037664003455528,0.0010944142334411,-0.0026719861121116,0.0118651996139758,0.0018674309192342,-0.0099977686947415,0.0,-0.0021923887083538
A08,Cz,1.3,1.8,1.55,0.0216878300827726,0.0054906650474303,-0.0161971650353423,0.0204057481020241,0.0046664363127265,-0.0157393117892975,0.0016024591050371,1.2884329596517052e-05,-0.0015895747754405,0.0030859568093003,0.0016983158755096,-0.0013876409337906,0.0118386372907527,0.0014331207607867,-0.010405516529966,0.0,-0.0021923887083538
A08,Cz,1.4,1.9,1.65,0.0131074053117088,0.0079074376010862,-0.0051999677106225,0.0114269517235331,0.0047151480985625,-0.0067118036249705,0.0024039369914133,0.0005821468868459,-0.0018217901045673,0.0007887109987334,0.0006603081710767,-0.0001284028276566,0.0090654201685664,0.0028779968441532,-0.0061874233244132,0.0,-0.0021923887083538
A08,Cz,1.5,2.0,1.75,0.0055619577459328,0.014118176212819,0.0085562184668861,0.001946441539201,0.0079809542332899,0.0060345126940888,0.0049810110997501,0.0091105283882574,0.0041295172885073,0.000381745354492,4.183210363857268e-05,-0.0003399132508534,0.0049479644740063,0.0120279352408282,0.0070799707668218,0.0,-0.0021923887083538
A08,Cz,1.6,2.1,1.85,0.0005640696964407,0.0151648003798229,0.0146007306833821,0.0003869501888306,0.0026277268785069,0.0022407766896763,0.000282653996162,0.0213276581083325,0.0210450041121705,0.0004683512130766,0.0035935887208696,0.0031252375077929,1.587627895234518e-06,0.0141886861903174,0.0141870985624221,0.0,-0.0021923887083538
A08,Cz,1.7000000000000002,2.2,1.95,0.0004993360976825,0.0097644498643479,0.0092651137666653,5.07165612096692e-05,0.0023027242671452,0.0022520077059355,5.64546000162852e-05,0.0114086721663597,0.0113522175663434,1.346180182060867e-07,0.0012788073972622,0.001278672779244,7.354836967978796e-05,0.0082867043119334,0.0082131559422536,0.0,-0.0021923887083538
A08,Cz,1.8,2.3,2.05,0.0066138362397828,0.024906503741892,0.0182926675021092,0.0028007288053726,0.0115738869569138,0.0087731581515412,0.0067753149745767,0.01304428096235,0.0062689659877733,0.0003995098263596,0.0002145817487833,-0.0001849280775762,0.006560000703472,0.0193719524754842,0.0128119517720121,0.0,-0.0021923887083538
A08,Cz,1.9,2.4000000000000004,2.1500000000000004,0.0119533850462753,0.0109735664606555,-0.0009798185856197,0.009513383672232,0.0086501886520504,-0.0008631950201815,0.0023863214531676,0.0009253291855251,-0.0014609922676424,0.0005807287137726,0.0010636921431135,0.0004829634293408,0.0078220289286091,0.0055847856260176,-0.0022372433025914,0.0,-0.0021923887083538
A08,Cz,2.0,2.5,2.25,0.0085356482015121,0.0226905365438442,0.0141548883423321,8.128185105272783e-05,0.0002741378595275,0.0001928560084748,0.0088344047452374,0.0016775853703439,-0.0071568193748935,0.0030874201456076,0.0002061305665868,-0.0028812895790208,0.0019867765177932,0.0011103789767799,-0.0008763975410133,0.0,-0.0021923887083538
A08,Cz,2.1,2.6,2.35,0.0195279693827495,0.0168595046412087,-0.0026684647415408,0.0005257353216686,0.001861824403593,0.0013360890819244,0.004362288016869,0.0017250543683762,-0.0026372336484927,0.0004309366601603,1.1081681603169582e-09,-0.0004309355519921,0.0022122431197433,0.002474278211523,0.0002620350917797,0.0,-0.0021923887083538
A08,Cz,2.2,2.7,2.45,0.0151097743696145,0.0242287322073612,0.0091189578377466,0.0044185180952593,0.0190571464726415,0.0146386283773821,0.0011331311781235,0.0009550850413774,-0.000178046136746,0.0033596511146011,0.003274634430339,-8.501668426212899e-05,0.0003687537142513,0.0103354039236212,0.0099666502093698,0.0,-0.0021923887083538
A08,Cz,2.3000000000000003,2.8000000000000003,2.5500000000000003,0.0088103793632611,0.0120429357081518,0.0032325563448907,0.005762610208764,0.0059578070854488,0.0001951968766848,0.0029605121264909,0.0002385442485013,-0.0027219678779896,0.0057273830070689,0.0030090509755981,-0.0027183320314707,0.0001582953427039,0.0011932503900935,0.0010349550473895,0.0,-0.0021923887083538
