Class,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Left_Hand,-0.7211176744847295,0.0283463990638023,-0.45,0.2242161074923365
Right_Hand,-0.7710658797649537,0.0149861275392876,-0.6666666666666667,0.0498672305688851
Feet,-0.7835322732310064,0.0124823000438758,-0.7666666666666667,0.015944016578974
Tongue,-0.801065308905459,0.0094601645276415,-0.6833333333333333,0.0424422720870723
