Band,Signal_Metric,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Theta,Absolute_Power_Change_Percent,0.0038216673383692,0.9922146579842916,-0.3179944153271747,0.4043225359679229,0.0189706016176588,0.9613649960888468,-0.4333333333333333,0.2439524358800516
Theta,Relative_Power_Change_Percent,-0.1828425504064072,0.637737933699066,-0.2343116744516024,0.5439670667628356,0.0733716235922576,0.8511974856235346,-0.15,0.7000942309691419
Alpha_Mu,Absolute_Power_Change_Percent,0.1900654607308559,0.6242693941028619,-0.0251048222626716,0.9488837293174808,-0.0185868762426771,0.962146025996538,0.0,1.0
Alpha_Mu,Relative_Power_Change_Percent,0.1468973458933017,0.7060724067880573,0.3514675116774036,0.353666329808871,0.143273096982968,0.7130732212553934,0.2166666666666666,0.5755148957119259
Beta,Absolute_Power_Change_Percent,0.2436090183571313,0.5276160809620012,0.2510482226267169,0.5146735855804967,0.0637669215883669,0.8705344739703685,0.1666666666666666,0.668231040071504
Beta,Relative_Power_Change_Percent,0.3331917002253314,0.3809281484007114,0.2426799485391596,0.5292413110551777,0.1817816445944692,0.6397240565131126,0.1333333333333333,0.7323675052362975
Gamma,Absolute_Power_Change_Percent,0.4222654522294458,0.2575552544407805,0.1924703040138163,0.6198061390079386,0.3037669280739636,0.4268021327812067,0.1666666666666666,0.668231040071504
Gamma,Relative_Power_Change_Percent,0.5141797854738605,0.1567312564183976,0.3598357857649609,0.3415091184940342,0.4799936760406696,0.1909865551253659,0.3333333333333333,0.3807131816768634
