Subject,Delta_Accuracy,Delta_F1
A07,0.0613718411552346,0.0659035397796197
A05,0.0217391304347825,0.0625057563718594
A06,0.0,0.0024605276447511
A08,0.0,-0.0021923887083538
A03,-0.0036630036630036,-0.0015693192651327
A09,-0.0189393939393939,-0.0152709976238667
A01,-0.0249110320284697,-0.027914278507571
A04,-0.0263157894736841,-0.0274821218015374
A02,-0.0388692579505299,-0.0270823723691391
