Feature,Outcome,Coefficient,SE,p,CI_Low,CI_High,R2,p_Holm
EOG_Gamma_R2,Delta_Accuracy,-0.0004203787458702,0.000422149239341,0.352513594496268,-0.0014186030750075,0.000577845583267,0.124083527687034,1.0
EOG_Gamma_R2,Delta_F1,-0.0003456983986066,0.0005279618973653,0.5335265493160245,-0.0015941299050336,0.0009027331078203,0.0577131356157896,1.0
Delta_Theta_R2,Delta_Accuracy,0.0149879274001777,0.7131187959920222,0.9838182965048612,-1.6712700718692053,1.701245926669561,6.310066691728178e-05,1.0
Delta_Theta_R2,Delta_F1,-0.4419924267524033,0.8435243887350887,0.6164662737287447,-2.4366106531653733,1.5526257996605668,0.0377422465744659,1.0
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5012889034293624,0.2744608474555327,0.1105190285992909,-1.1502856794354228,0.1477078725766979,0.3227500528842419,0.7736332001950365
Delta_Alpha_Mu_R2,Delta_F1,-0.7614609183577279,0.2808709192969726,0.0301522943039968,-1.4256151056945092,-0.0973067310209466,0.5121918691985285,0.2412183544319749
Gamma_Relative_Power,Delta_Accuracy,-0.0015354069656806,0.0034903950886314,0.6732749039070292,-0.0097888798398988,0.0067180659085375,0.0269003006367234,1.0
Gamma_Relative_Power,Delta_F1,-0.002092334586262,0.0041925715879415,0.6330379237080122,-0.0120061910396474,0.0078215218671232,0.0343573526195405,1.0
