Feature,Outcome,Pearson_r,Spearman_rho,Spearman_p,LOO_Mean_r,LOO_Positive_Fraction,Quadratic_Delta_R2,Absolute_Spearman
Delta_Theta_R2,Delta_Accuracy,0.0079435928217207,0.0502096445253433,0.8979283954703233,0.0099155673162244,0.5555555555555556,0.0024949878059671,0.0502096445253433
Gamma_Relative_Power,Delta_Accuracy,-0.1640131111732333,-0.3096261412396175,0.4174779170120546,-0.1667579017480108,0.1111111111111111,0.0477552388358392,0.3096261412396175
EOG_Gamma_R2,Delta_Accuracy,-0.3522549186129755,-0.1924703040138163,0.6198061390079386,-0.329702010973459,0.1111111111111111,0.0799743867747531,0.1924703040138163
Gamma_Relative_Power,Delta_F1,-0.1853573646218045,-0.1833333333333333,0.6368198117628943,-0.1919525012204945,0.1111111111111111,0.0249626931932587,0.1833333333333333
EOG_Gamma_R2,Delta_F1,-0.2402355835753513,-0.1666666666666666,0.668231040071504,-0.2310632971264001,0.1111111111111111,0.0178976101789092,0.1666666666666666
Delta_Theta_R2,Delta_F1,-0.1942736383930306,0.0166666666666666,0.966054803994686,-0.1870481278371808,0.1111111111111111,0.034501635359621,0.0166666666666666
Delta_Alpha_Mu_R2,Delta_F1,-0.7156758129198783,-0.2333333333333333,0.5456987782182727,-0.7057041237218711,0.0,0.4688752569111155,0.2333333333333333
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5681109512095694,-0.1924703040138163,0.6198061390079386,-0.5527412310186204,0.0,0.5504380903002608,0.1924703040138163
