Signal_Metric,Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
RMS_Change_Percent,Delta_Accuracy,0.2431720618002376,0.5283802099259268,0.0,1.0
RMS_Change_Percent,Delta_F1,0.0514366301863845,0.8954449114044478,-0.0666666666666666,0.8646897846262037
Variance_Change_Percent,Delta_Accuracy,0.2239814594978831,0.5623565562207601,0.0,1.0
Variance_Change_Percent,Delta_F1,0.0313595343325633,0.9361672130273976,-0.0666666666666666,0.8646897846262037
EOG_Coupling_Change_Percent,Delta_Accuracy,-0.1924031575724443,0.6199306142153242,-0.2594164967142741,0.5002682642509535
EOG_Coupling_Change_Percent,Delta_F1,0.0698579191821269,0.8582641017911204,-0.25,0.5164895523012263
