Subject,Band,Raw_Left_Expected_Lateralization,Clean_Left_Expected_Lateralization,Delta_Left_Expected_Lateralization,Raw_Right_Expected_Lateralization,Clean_Right_Expected_Lateralization,Delta_Right_Expected_Lateralization
A01,Mu,46.27291370398305,40.807667994892256,-5.465245709090794,-0.1660045424784044,11.52463510817645,11.690639650654855
A01,Beta,8.959816088225935,11.500913528812813,2.541097440586878,3.0332755380460137,0.521627377770125,-2.5116481602758887
A02,Mu,-11.030017080482708,1.1931635368164848,12.223180617299192,28.3877684309042,23.62869279815095,-4.759075632753252
A02,Beta,4.509800563050519,6.10050714652848,1.590706583477962,1.7055435997474166,10.922293034224897,9.21674943447748
A03,Mu,-22.63045752039457,6.695526808237233,29.325984328631808,72.79277190911657,106.21276447605425,33.41999256693768
A03,Beta,4.565058495104195,8.782794137653628,4.2177356425494335,-5.779239600754412,-2.303740753332661,3.4754988474217505
A04,Mu,17.109264241667617,-5.562811996372091,-22.672076238039708,-3.586352245990128,9.363327155542263,12.949679401532393
A04,Beta,-4.855623815764682,-8.810648486551406,-3.955024670786724,18.010566560413338,20.755131030737434,2.744564470324097
A05,Mu,-8.714117367698528,-28.828873918149256,-20.11475655045073,16.123269282744175,2.930663697947878,-13.192605584796295
A05,Beta,0.3795450595298089,1.7532245398205593,1.3736794802907504,-3.2208533785902835,-3.378183053661207,-0.1573296750709234
A06,Mu,89.10345429945974,107.68950926397538,18.58605496451564,-26.665540638379326,-7.784034844848222,18.881505793531105
A06,Beta,-0.1441594597252677,4.290854244050829,4.435013703776097,21.267322593137827,18.719713820690203,-2.5476087724476244
A07,Mu,1.7227923519342951,-3.095820251711025,-4.81861260364532,-7.2698690936388175,4.801659130373352,12.07152822401217
A07,Beta,-1.7291002593409637,0.1322475210550493,1.861347780396013,22.25206156519354,23.1053347153396,0.8532731501460624
A08,Mu,24.547527074919856,46.8720612317355,22.324534156815645,-53.41890552908453,2.268172703165206,55.68707823224974
A08,Beta,1.0704472646133771,6.469054655511154,5.3986073908977765,3.93506059618761,9.374374784407088,5.439314188219479
A09,Mu,48.02012508020809,56.32231996126582,8.30219488105773,-58.35350892079897,-101.47178366379228,-43.11827474299331
A09,Beta,18.10554866661376,18.93176619764649,0.8262175310327287,-2.3793800716304623,3.6716242733953273,6.05100434502579
