Band,Channel,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mu,C3,0.2776031740924964,0.4695416607865453,0.1422606594884729,0.7150322450059001
Mu,Cz,0.0922427445557594,0.8134119606306959,0.0836827408755723,0.8305146353314997
Mu,C4,0.0667373490090663,0.8645473880180882,-0.0669461927004578,0.8641266713551774
Beta,C3,-0.1566897255990712,0.6872532296119346,-0.2175751262764879,0.5738746583219767
Beta,Cz,-0.3204227988197347,0.4005410210943377,-0.3598357857649609,0.3415091184940342
Beta,C4,-0.3478660544170942,0.3589619134191638,-0.2510482226267169,0.5146735855804967
