Subject,Peak_Window_Center_s,Peak_Delta_Beta_Percent,Early_MI_Overlap_Mean_Delta_Beta_Percent,Early_MI_Overlap_Min,Early_MI_Overlap_Max,Delta_Accuracy,Delta_F1
A01,3.75,-36.02957508020143,-33.87806903612971,-36.02957508020143,-31.80239253996569,-0.0249110320284697,-0.027914278507571
A02,2.45,-71.49654598183817,-69.15757215858473,-69.88275239263383,-67.87568445065953,-0.0388692579505299,-0.0270823723691391
A03,2.45,-64.31068095042576,-62.96042832962205,-63.91325064973808,-61.90859066071044,-0.0036630036630036,-0.0015693192651327
A04,3.75,-21.33592997804672,-18.50122890398372,-21.33592997804672,-15.813663579757923,-0.0263157894736841,-0.0274821218015374
A05,2.45,-60.46454554963699,-59.703796876932586,-59.88379664452479,-59.53082719372447,0.0217391304347825,0.0625057563718594
A06,3.75,-29.43286769938648,-27.98830574016922,-29.43286769938648,-25.326033056672305,0.0,0.0024605276447511
A07,2.6500000000000004,-15.908080917194118,-13.080527809629222,-15.48865267680994,-11.2693981885264,0.0613718411552346,0.0659035397796197
A08,3.65,-65.74906703280443,-64.71485167899117,-65.74906703280443,-63.45416386581056,0.0,-0.0021923887083538
A09,3.75,-24.026858862471894,-22.725414276311383,-24.026858862471894,-20.86011039959064,-0.0189393939393939,-0.0152709976238667
