Subject,Band,N,Baseline_Mean_R2,MI_Mean_R2,Mean_Change_R2,Median_Change_R2,Positive,Negative,Paired_t,Paired_t_p,Wilcoxon_W,Wilcoxon_p
A01,Theta,282,0.627496322087114,0.9742485188624757,0.3467521967753615,0.1030342978698605,164,118,3.6975388952520736,0.0002617554376768,15250.0,0.0006034768047894
A01,Alpha_Mu,282,0.4308817994335779,0.3675120921378713,-0.0633697072957065,-0.0228137387264968,133,149,-1.2626591587970728,0.2077585107491125,18419.0,0.2635424704052252
A01,Beta,282,0.231847638277598,0.1991966636797437,-0.0326509745978542,-0.0222196862182739,125,157,-1.2335906009023443,0.218386329304426,17721.0,0.1036748072709845
A01,Gamma,282,0.0865636726983237,0.0851392557568823,-0.0014244169414414,0.0023550726890947,147,135,-0.1393025814758387,0.8893108359722429,19120.0,0.54409463696185
A02,Theta,282,0.5280624119533759,0.607726694101131,0.0796642821477551,0.0382214102873298,160,122,1.1122831108262206,0.266967114312384,17103.0,0.0376942427133564
A02,Alpha_Mu,282,0.649284505816739,0.49316957620056,-0.1561149296161788,0.0112539065229935,149,133,-2.277164567200008,0.0235280210189522,18250.0,0.2144750777258711
A02,Beta,282,1.3970305271034866,1.7376670185679155,0.3406364914644292,0.2365084271267436,168,114,3.353740850692276,0.0009068205161761,15254.0,0.0006099998883437
A02,Gamma,282,0.8230766792681644,0.9346278151986748,0.1115511359305103,0.0436896623588235,162,120,2.061289049518531,0.0401952975507945,16660.0,0.016334205657916
A03,Theta,282,0.5245982047052056,0.6544484872268346,0.129850282521629,-0.0033078019377577,139,143,1.6428036788288127,0.1015420498790491,18547.0,0.3055174225528786
A03,Alpha_Mu,282,0.5560550717513301,0.438289526575782,-0.1177655451755479,-0.0495731322705927,122,160,-2.196404878314861,0.0288798700362065,16998.0,0.0311799613240413
A03,Beta,282,0.2729082539423915,0.2627271136052313,-0.0101811403371602,-0.0045951660033614,136,146,-0.3401779316273319,0.7339766887945671,19194.0,0.5805065067746779
A03,Gamma,282,0.2122148274701741,0.1851784664141705,-0.0270363610560035,-0.0023822169726826,139,143,-1.2373808211223205,0.2169787271095704,18879.0,0.4339455748765545
A04,Theta,282,0.5836832154887248,1.1267369886268022,0.5430537731380771,0.2142751129049409,182,100,5.430054202647155,1.2197870199746013e-07,12795.0,1.778370236391575e-07
A04,Alpha_Mu,282,0.2749505737362295,0.42803538024159,0.1530848065053604,0.0786834078357904,175,107,3.536111081219751,0.0004747821179835,13935.0,1.1365122388739814e-05
A04,Beta,282,0.1314145606578578,0.2205693563259287,0.0891547956680709,0.0380065410649238,181,101,3.834744380640493,0.0001552012107443,13138.0,6.664730820432904e-07
A04,Gamma,282,0.0333861783460336,0.0554887900998823,0.0221026117538487,0.0041630784209562,168,114,3.0657761652200066,0.0023823486750659,14879.0,0.0002149925430516
A05,Theta,282,1.2419238920285292,1.2958615895911076,0.0539376975625786,-0.0103681215800178,139,143,0.4192831198874802,0.6753295748881714,19469.0,0.7248271513302693
A05,Alpha_Mu,282,0.5178018153283682,0.4634629373517462,-0.0543388779766219,-0.0317893425247962,133,149,-1.089362000945045,0.2769276221884378,18928.0,0.455239146462764
A05,Beta,282,0.8055919500901985,0.8851619334324635,0.079569983342265,-0.0050487827511102,140,142,1.0721712670396977,0.2845630562334054,18750.0,0.3807193657577266
A05,Gamma,282,0.1642687025955599,0.1559254036440892,-0.0083432989514707,-0.0050942296061698,135,147,-0.533695540602304,0.593974100835869,18311.0,0.2313648799506134
A06,Theta,282,1.2957596674181366,1.6176316456850324,0.3218719782668958,0.0602759117087895,149,133,1.9084103932246816,0.0573570621978015,17887.0,0.1320195162635538
A06,Alpha_Mu,282,1.0038529853199385,0.5157363769073747,-0.4881166084125635,-0.1137498808968228,121,161,-5.092706976302954,6.480033438108622e-07,14463.0,6.222398517706443e-05
A06,Beta,282,0.1531641314780579,0.1493911842330043,-0.0037729472450535,-0.0008018904402955,139,143,-0.2418978265397888,0.8090357729309987,19435.0,0.706307373013209
A06,Gamma,282,0.0910219962051371,0.0505414202084429,-0.0404805759966942,-0.0040740185745415,125,157,-3.1855338772727357,0.001607600190967,15657.0,0.0017296210180085
A07,Theta,282,0.265079889914118,0.7660233227304957,0.5009434328163775,0.2255084785447356,195,87,7.7474421459085026,1.7166439348347357e-13,8761.0,3.235985473845785e-16
A07,Alpha_Mu,282,0.8538154720093246,0.6529643971196027,-0.200851074889722,-0.0106754322870991,135,147,-2.3089648725934087,0.0216710946336681,18146.0,0.18776204440643
A07,Beta,282,0.1301311171998267,0.2019500085349948,0.0718188913351681,0.0434410393636992,185,97,4.389294092225559,1.6111732285406286e-05,13225.0,9.22847058963481e-07
A07,Gamma,282,0.0123480166896609,0.0228081976987052,0.0104601810090443,0.0033711715460611,170,112,3.861008762180529,0.000140181786027,13211.0,8.75988472043438e-07
A08,Theta,282,0.3267007079495545,0.5009599413698692,0.1742592334203147,0.0560337954245129,163,119,3.5740704418142863,0.0004135362786645,15240.0,0.0005874520391499
A08,Alpha_Mu,282,1.1601191193885827,0.7802564002457695,-0.3798627191428134,-0.0216825934451524,133,149,-3.065447135584052,0.0023848854653866,17953.0,0.1448310548621875
A08,Beta,282,0.2657864104912039,0.3314515682747499,0.065665157783546,0.0252272176466557,156,126,1.821369051742856,0.0696139858658756,17115.0,0.0385076872035168
A08,Gamma,282,0.0971921268938638,0.1244204102986314,0.0272282834047675,0.0119010879241644,165,117,2.0353390153635944,0.0427549754855244,16142.0,0.0054480293259796
A09,Theta,282,0.9236262370757204,0.9893597699936928,0.0657335329179722,0.0459608079324785,146,136,0.7309779689520561,0.465401676867062,18574.0,0.3149089167251726
A09,Alpha_Mu,282,0.7269150491689825,0.7999224230634774,0.0730073738944948,0.0269388923713264,145,137,0.9570229758115436,0.3393782961198452,18811.0,0.4053704607181688
A09,Beta,282,0.0836679695283138,0.1320134508454568,0.0483454813171429,0.0144956276720734,162,120,4.014186659677518,7.65805105458763e-05,15821.0,0.0025828224208377
A09,Gamma,282,0.0209142716085714,0.0259438734398101,0.0050296018312386,0.0030776451096684,171,111,0.9601652136451936,0.3377975134942609,15347.0,0.0007814606821391
