Comparison,Mean_Accuracy_Difference,Median_Accuracy_Difference,Wilcoxon_Accuracy_p,Mean_F1_Difference,Median_F1_Difference,Wilcoxon_F1_p
Adaptive vs All_Clean,-0.0088878374940207,0.0,0.1875,-0.0103269301086475,0.0,0.125
Adaptive vs Theta_Clean,0.0205404550386346,0.0340909090909091,0.07421875,0.0214497030818162,0.038111407730538,0.12890625
Adaptive vs Alpha_Mu_Clean,0.0050212473548301,0.0,0.8125,-0.001486095251579,0.0,0.8125
Adaptive vs Beta_Clean,0.0119040471892132,0.0,0.640625,0.0024457410544684,0.0,0.84375
Adaptive vs Gamma_Clean,0.0140779669922046,0.0247349823321555,0.42578125,0.0097460833343062,0.0010316250442126,0.734375
