Band,N,Baseline_Mean_R2,MI_Mean_R2,Mean_Change_R2,Median_Change_R2,Positive_Changes,Negative_Changes,Paired_t,Paired_t_p,Wilcoxon_W,Wilcoxon_p,Wilcoxon_p_Bonferroni,Paired_t_p_Bonferroni
Theta,2538,0.7018811720689421,0.948110773131938,0.2462296010629957,0.0706226814649945,1437,1101,7.364803722682698,2.385992865014493e-13,1307159.0,1.8825315549080155e-16,7.530126219632062e-16,9.54397146005797e-13
Alpha_Mu,2538,0.6859640435503414,0.5488165677604193,-0.1371474757899221,-0.0076261745223704,1246,1292,-5.342391545345893,9.988524208062805e-08,1522387.0,0.0163977890091797,0.0655911560367189,3.995409683225122e-07
Beta,2538,0.3857269509743261,0.4577920330554987,0.0720650820811726,0.0172564195228728,1392,1146,4.563838510883133,5.2619274368785565e-06,1409165.0,4.589327347307026e-08,1.8357309389228104e-07,2.1047709747514223e-05
Gamma,2538,0.1712207190861654,0.182230403639921,0.0110096845537555,0.0030235295973544,1382,1156,1.5248116458144247,0.1274307262286011,1488107.0,0.0008734489128065,0.003493795651226,0.5097229049144046
