Subject,C5_R2,C3_R2,C1_R2,Cz_R2,C2_R2,C4_R2,C6_R2,Central_Mean_R2,Central_Max_R2
A01,36.68040980196864,32.04394140998355,29.38806569390968,28.336050692580734,32.43822406726872,36.05512732152777,44.19066562587554,34.161783516159225,44.19066562587554
A02,50.00380480264028,48.3075822602563,45.91492084990261,43.316014423692685,48.3785652035547,52.66457113412179,57.91282033052192,49.499754143527184,57.91282033052192
A03,55.02719965055145,48.81780916071702,50.83337891526985,51.810262030989065,52.78315324861702,54.02639080587787,54.653420751617645,52.56451636623428,55.02719965055145
A04,27.663353135724822,30.802704768848542,32.20580388909823,33.07294494105763,40.35469681350198,47.37317075562283,55.72032141416629,38.17042795971719,55.72032141416629
A05,41.98080950268196,36.90837479992884,36.01801769775496,36.93543432678757,41.8495373406359,49.436756151584014,59.707407342759545,43.26233388030469,59.707407342759545
A06,26.17447713379919,21.366693108430123,23.27192535961555,23.26951466250665,26.77463989645411,28.030482165203885,38.27566053058785,26.73762755094248,38.27566053058785
A07,48.73546468965546,43.37834073227532,40.259627801691714,40.35909364670274,48.094385268284455,54.0897606223904,62.24541790066005,48.166012951665735,62.24541790066005
A08,45.602034592323,43.68731605477837,42.358406585036846,42.272138061588095,48.86418248079705,55.70062532538596,60.80681974910442,48.47021754985911,60.80681974910442
A09,28.602595000513237,21.462902591426992,23.412373005146318,22.229336942704705,26.472778117623253,26.224919896464584,32.5266751900966,25.847368677710808,32.5266751900966
