Metric,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Delta_Between_Class_Distance,-0.3173523233085504,0.4053251356711381,-0.1999999999999999,0.6059012741795533,-0.6306380080050539,0.0686207398090046,-0.35,0.3558195725017889
Delta_Within_Class_Distance,-0.4770018923269631,0.1941682041539309,-0.3833333333333333,0.3084952723803714,-0.7699609353019319,0.0152229990414899,-0.6333333333333333,0.0670857868923456
Delta_Separation_Ratio,-0.3082809561505,0.4196104252236771,-0.5333333333333333,0.1392268675439781,-0.2708785251965393,0.4808086137126665,-0.3666666666666667,0.331739801433015
