Band,Accuracy_Pearson_r,Accuracy_p,F1_Pearson_r,F1_p
Theta,0.3664547149780165,0.3320408259144222,0.3062214585483926,0.4228847983974951
Alpha_Mu,0.8019163997911051,0.0093275661226287,0.8485848265489856,0.0038229986819523
Beta,-0.3054879838856701,0.4240537008627823,-0.310692545947497,0.4157908422079913
Gamma,-0.1525679461876975,0.6951570663513091,-0.1780483147528693,0.6467289135380043
