Subject,Best_Accuracy_Condition,Best_Accuracy_Improvement,Best_F1_Condition,Best_F1_Improvement,Response_Group
A01,Gamma_Clean,0.0,Gamma_Clean,-0.0042929546616553,Harmed
A02,All_Clean,0.0247349823321555,All_Clean,0.029886472664149,Harmed
A03,Beta_Clean,0.0146520146520147,Gamma_Clean,0.0170409494416584,Harmed
A04,Alpha_Mu_Clean,0.074561403508772,Alpha_Mu_Clean,0.0767658995413467,Responder
A05,Alpha_Mu_Clean,0.0688405797101449,Alpha_Mu_Clean,0.1342046410972302,Responder
A06,Alpha_Mu_Clean,0.0465116279069767,Alpha_Mu_Clean,0.045262296178642,Harmed
A07,Alpha_Mu_Clean,0.0902527075812274,Beta_Clean,0.0933902879839957,Responder
A08,All_Clean,0.033210332103321,All_Clean,0.0240927902489979,Harmed
A09,All_Clean,0.0795454545454545,All_Clean,0.0803498848905676,Responder
