True_Class,Predicted_Class,Raw_Count,Clean_Count,Change
Feet,Feet,21.0,24.33333333333333,3.333333333333333
Feet,Left_Hand,14.22222222222222,12.22222222222222,-2.0
Feet,Right_Hand,13.666666666666666,11.666666666666666,-2.0
Feet,Tongue,17.77777777777778,18.444444444444443,0.6666666666666666
Left_Hand,Feet,7.0,8.555555555555555,1.5555555555555556
Left_Hand,Left_Hand,36.77777777777778,35.333333333333336,-1.4444444444444444
Left_Hand,Right_Hand,18.666666666666668,16.0,-2.6666666666666665
Left_Hand,Tongue,3.4444444444444446,6.0,2.555555555555556
Right_Hand,Feet,7.666666666666667,9.555555555555555,1.8888888888888888
Right_Hand,Left_Hand,15.22222222222222,15.555555555555555,0.3333333333333333
Right_Hand,Right_Hand,37.77777777777778,34.44444444444444,-3.333333333333333
Right_Hand,Tongue,4.888888888888889,6.0,1.1111111111111112
Tongue,Feet,9.11111111111111,12.444444444444445,3.333333333333333
Tongue,Left_Hand,10.0,7.111111111111111,-2.888888888888889
Tongue,Right_Hand,11.555555555555555,9.11111111111111,-2.4444444444444446
Tongue,Tongue,34.333333333333336,36.333333333333336,2.0
