Subject,Best_Lambda_Accuracy,Best_Test_Accuracy,Best_Lambda_F1,Best_Test_F1
A01,0.0,0.6227758007117438,0.0,0.6150849154850597
A02,1.0,0.4275618374558304,1.0,0.4294867597315074
A03,1.0,0.717948717948718,1.0,0.6987398301061474
A04,0.75,0.5394736842105263,0.75,0.5341184907325685
A05,0.25,0.4094202898550724,0.25,0.3980090297200297
A06,0.5,0.4930232558139535,0.5,0.4871575035635421
A07,0.25,0.5451263537906137,0.25,0.5420264892160219
A08,1.0,0.7121771217712177,1.0,0.7088721373699218
A09,0.25,0.7196969696969697,0.25,0.7208808109987696
