Subject,Raw_Accuracy,Clean_Accuracy,Accuracy_Change,Raw_Macro_F1,Clean_Macro_F1,F1_Change,Raw_Best_Val,Clean_Best_Val,Raw_Inference_ms,Clean_Inference_ms,Training_Trials,Validation_Trials,Test_Trials
A01,0.6227758007117438,0.604982206405694,-0.0177935943060497,0.6150849154850597,0.5890743461201681,-0.0260105693648916,0.7090909090909091,0.7272727272727273,36.09919548034668,84.62858200073242,218,55,281
A02,0.3250883392226148,0.3462897526501767,0.0212014134275618,0.3010959268790487,0.3371793070922995,0.0360833802132508,0.4259259259259259,0.5740740740740741,25.493860244750977,24.912357330322266,216,54,283
A03,0.6593406593406593,0.7142857142857143,0.0549450549450549,0.6321133174024869,0.695486656200942,0.063373338798455,0.7592592592592593,0.8703703703703703,30.334949493408203,24.74617958068848,216,54,273
A04,0.3991228070175439,0.4342105263157895,0.0350877192982456,0.39700800674252,0.4278581371421655,0.0308501303996454,0.5471698113207547,0.5094339622641509,20.86496353149414,20.328760147094727,209,53,228
A05,0.2934782608695652,0.3115942028985507,0.0181159420289854,0.2141763455954464,0.250132320016616,0.0359559744211695,0.490566037735849,0.3962264150943396,26.09181404113769,25.696277618408203,209,53,276
A06,0.241860465116279,0.4744186046511628,0.2325581395348837,0.1967470753842656,0.4721214118591165,0.2753743364748508,0.4090909090909091,0.4772727272727273,30.42793273925781,19.49167251586914,175,44,215
A07,0.4765342960288808,0.5090252707581228,0.0324909747292418,0.4625414886423078,0.5090566227837482,0.0465151341414403,0.6181818181818182,0.5272727272727272,25.199413299560547,25.12335777282715,216,55,277
A08,0.6273062730627307,0.6678966789667896,0.0405904059040589,0.6253984387705318,0.6626848415985516,0.0372864028280197,0.6981132075471698,0.7358490566037735,29.16741371154785,24.46150779724121,211,53,271
A09,0.6325757575757576,0.7159090909090909,0.0833333333333333,0.6343038785276387,0.719145407790538,0.0848415292628993,0.875,0.8958333333333334,23.92864227294922,23.777484893798828,189,48,264
