Subject,Band,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Raw_Absolute_Power,Clean_Absolute_Power,Absolute_Power_Change,Absolute_Power_Change_Percent,Raw_Relative_Power,Clean_Relative_Power,Relative_Power_Change,Relative_Power_Change_Percent,Delta_Accuracy,Delta_F1
A01,Theta,0.0114464146118047,0.0151776309316424,0.0037312163198377,11.049215315204258,9.421181988632672,-1.628033326571586,-14.73437959283256,0.2577219730342173,0.2831967571855198,0.0254747841513024,9.884599225817736,-0.0249110320284697,-0.027914278507571
A01,Alpha_Mu,0.0081096036978838,0.012276301516802,0.0041666978189181,10.823399944265256,8.610838148113151,-2.212561796152104,-20.442391554831367,0.2511369423142549,0.2573574459039324,0.0062205035896775,2.4769368983929407,-0.0249110320284697,-0.027914278507571
A01,Beta,0.0023562412751337,0.0025791925188852,0.0002229512437515,15.207714149132403,10.874289467767303,-4.3334246813650985,-28.49491145658021,0.3505493646279072,0.3323507193899165,-0.0181986452379906,-5.191464334076818,-0.0249110320284697,-0.027914278507571
A01,Gamma,0.0031603137840459,0.0117676523438838,0.0086073385598378,3.77995024634242,2.289823887971309,-1.4901263583711106,-39.42185111597689,0.0857867001027078,0.0706620592596659,-0.0151246408430419,-17.63051944524505,-0.0249110320284697,-0.027914278507571
A02,Theta,0.0099542284152556,0.0098246188317505,-0.0001296095835051,12.198061922118963,8.460501871624784,-3.73756005049418,-30.64060564995817,0.1440908861787594,0.2198646285102643,0.0757737423315049,52.58746360786477,-0.0388692579505299,-0.0270823723691391
A02,Alpha_Mu,0.0246294808605928,0.0204227120146105,-0.0042067688459822,16.830783797954066,7.464895036132304,-9.36588876182176,-55.64737135391324,0.1895456285760289,0.1927066515825099,0.003161023006481,1.667684467443732,-0.0388692579505299,-0.0270823723691391
A02,Beta,0.0114523792097572,0.0107362135004073,-0.0007161657093499,61.57801876745328,19.887293838364496,-41.69072492908879,-67.70390760139914,0.4618661051603115,0.4174046060958233,-0.0444614990644882,-9.62649100415278,-0.0388692579505299,-0.0270823723691391
A02,Gamma,0.0051282730403755,0.006618830152067,0.0014905571116915,24.644973151078712,6.631870332478742,-18.01310281859997,-73.09037306787059,0.158843239080778,0.1206567090558884,-0.0381865300248895,-24.040387394436213,-0.0388692579505299,-0.0270823723691391
A03,Theta,0.0088170669412462,0.013262990799434,0.0044459238581878,12.165632137680568,10.063549428562805,-2.1020827091177647,-17.278861347508542,0.173920874853511,0.2196211327509207,0.0457002578974096,26.27646505107669,-0.0036630036630036,-0.0015693192651327
A03,Alpha_Mu,0.0210606870368951,0.0241016346759378,0.0030409476390427,25.01719138714312,22.70134032339231,-2.3158510637508094,-9.257038601627263,0.3455547969539446,0.4632726300142485,0.1177178330603039,34.066328726437376,-0.0036630036630036,-0.0015693192651327
