Class,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Left_Hand,0.8713329087781932,0.0022133867340689,0.75,0.0199421261319925
Right_Hand,0.8238532081915312,0.0063282453637524,0.95,8.762523965086177e-05
Feet,0.7906002491985058,0.0111960241421572,0.9288784237188524,0.0002945257641989
Tongue,0.8540855014243681,0.0033776009820642,0.6443571047419068,0.0610329576990997
