Feature,Outer_Folds_Selected,Selection_Rate
EOG_Gamma_R2,2,0.2222222222222222
Delta_Theta_R2,2,0.2222222222222222
Delta_Alpha_Mu_R2,0,0.0
Gamma_Relative_Power,7,0.7777777777777778
