Subject,N,Baseline_Mean_R2,MI_Mean_R2,Mean_Change_R2,Median_Change_R2,Positive,Negative,Paired_t,Paired_t_p,Wilcoxon_W,Wilcoxon_p
A01,282,0.3441973581241534,0.4065241326092432,0.0623267744850898,0.033959734919416,158,124,2.1655553770497087,0.0311864382049415,17006.0,0.0316397989421282
A02,282,0.8493635310354414,0.9432977760170704,0.0939342449816289,0.1012410672029165,160,122,2.2013488652484554,0.0285242888919458,16478.0,0.0112723077350116
A03,282,0.3914440894672752,0.3851608984555046,-0.0062831910117706,-0.0177916138422521,133,149,-0.2287916047382094,0.8191973115724537,18733.0,0.3740169439875559
A04,282,0.2558586320572115,0.4577076288235507,0.2018489967663393,0.1447472584173258,182,100,6.788901687432278,6.706108738523876e-11,11109.0,1.1098765820216826e-10
A05,282,0.6823965900106639,0.7001029660048517,0.0177063759941877,0.0405959879872892,149,133,0.3656097148765008,0.7149313904447556,19038.0,0.5051189976194855
A06,282,0.6359496951053174,0.5833251567584637,-0.0526245383468539,-0.0102001994889715,137,145,-1.0687873688489842,0.2860827588347521,18238.0,0.2112598881950961
A07,282,0.3153436239532326,0.4109364815209496,0.0955928575677169,0.1107212250027846,187,95,3.1485637566046507,0.0018174654051094,14272.0,3.4195416982915455e-05
A08,282,0.4624495911808012,0.434272080047255,-0.0281775111335462,0.0564251268887528,156,126,-0.7965214652275522,0.4264014372959368,18772.0,0.3895018067253236
A09,282,0.4387808818453971,0.4868098793356093,0.0480289974902121,0.0217114196849918,151,131,1.571698237450877,0.1171458220990222,17691.0,0.0991107041292815
