Subject,Theta,Alpha_Mu,Beta,Gamma,Mean_Delta_All_Bands,Positive_Band_Count,Negative_Band_Count,Dominant_Direction
A01,0.3467521967753616,-0.0633697072957066,-0.0326509745978542,-0.0014244169414413,0.0623267744850898,1,3,Mostly Decreased
A02,0.0796642821477551,-0.156114929616179,0.3406364914644288,0.1115511359305103,0.0939342449816288,3,1,Mostly Increased
A03,0.129850282521629,-0.117765545175548,-0.0101811403371601,-0.0270363610560036,-0.0062831910117707,1,3,Mostly Decreased
A04,0.5430537731380773,0.1530848065053605,0.0891547956680708,0.0221026117538487,0.2018489967663393,4,0,Mostly Increased
A05,0.0539376975625784,-0.054338877976622,0.079569983342265,-0.0083432989514707,0.0177063759941877,2,2,Mixed
A06,0.3218719782668957,-0.4881166084125637,-0.0037729472450536,-0.0404805759966942,-0.0526245383468539,1,3,Mostly Decreased
A07,0.5009434328163777,-0.2008510748897218,0.0718188913351681,0.0104601810090443,0.095592857567717,3,1,Mostly Increased
A08,0.1742592334203146,-0.3798627191428132,0.065665157783546,0.0272282834047676,-0.0281775111335462,3,1,Mostly Increased
A09,0.0657335329179723,0.0730073738944948,0.0483454813171429,0.0050296018312387,0.0480289974902122,4,0,Mostly Increased
