Comparison,Mean_Accuracy_Difference,Median_Accuracy_Difference,Wilcoxon_Accuracy_p,Mean_F1_Difference,Median_F1_Difference,Wilcoxon_F1_p,Wilcoxon_Accuracy_p_Holm,Wilcoxon_F1_p_Holm
Adaptive vs All_Clean,-0.0052556250204978,0.0,0.625,-0.0020764358271438,0.0,0.8125,1.0,1.0
Adaptive vs Theta_Clean,0.0241726675121575,0.0326086956521738,0.07421875,0.0297001973633199,0.034067597698438,0.01953125,0.37109375,0.09765625
Adaptive vs Alpha_Mu_Clean,0.008653459828353,0.0388692579505299,0.8203125,0.0067643990299246,0.0396981478194636,0.91015625,1.0,1.0
Adaptive vs Beta_Clean,0.0155362596627361,0.0106007067137808,0.5703125,0.0106962353359721,0.0150469455247307,0.42578125,1.0,1.0
Adaptive vs Gamma_Clean,0.0177101794657275,0.0110701107011069,0.21875,0.01799657761581,0.0193053413355169,0.203125,0.875,0.8125
