Band,N_Subjects,Mean_Delta_R2,Median_Delta_R2,Std_Delta_R2,Min_Delta_R2,Max_Delta_R2,Positive_Subjects,Negative_Subjects,No_Change_Subjects,T_statistic,T_test_p,Wilcoxon_statistic,Wilcoxon_p
Theta,9,0.2462296010629957,0.1742592334203146,0.1886906126865135,0.0539376975625784,0.5430537731380773,9,0,0,3.914814800120602,0.0044507648618101,0.0,0.00390625
Alpha_Mu,9,-0.1371474757899221,-0.117765545175548,0.2023560769457522,-0.4881166084125637,0.1530848065053605,2,7,0,-2.033259557013779,0.0764695373578885,8.0,0.09765625
Beta,9,0.0720650820811726,0.065665157783546,0.1098657835801312,-0.0326509745978542,0.3406364914644288,6,3,0,1.9678123542971384,0.0846295225032382,6.0,0.0546875
Gamma,9,0.0110096845537555,0.0050296018312387,0.04352963952822,-0.0404805759966942,0.1115511359305103,5,4,0,0.7587715868828635,0.4697517758254476,18.0,0.65234375
