Band,Channel,Raw_Mean,Clean_Mean,Mean_Change,Wilcoxon_W,Wilcoxon_p
Mu,C3,-33.59380673530763,-34.02099811127282,-0.4271913759651866,14.0,0.359375
Mu,Cz,-31.00872950440572,-30.224632820041897,0.7840966843638242,16.0,0.49609375
Mu,C4,-35.88862664494432,-36.546139008038615,-0.6575123630942983,20.0,0.8203125
Beta,C3,-4.470262606110686,-7.101999817445851,-2.6317372113351647,7.0,0.07421875
Beta,Cz,-5.837964323604005,-9.594953124330472,-3.756988800726466,3.0,0.01953125
Beta,C4,-1.6744205584870462,-4.421400812104156,-2.7469802536171093,8.0,0.09765625
