Metric,Mean_Raw,Mean_Adaptive,Mean_Improvement,Median_Improvement,Paired_t_p,Wilcoxon_p
Accuracy,0.5152463979849266,0.5387127729979891,0.0234663750130627,0.0,0.0589946665246437,0.125
Macro_F1,0.5012738703470117,0.5258590671444234,0.0245851967974118,0.0,0.0593453149410599,0.125
