Band,Accuracy_Spearman_rho,Accuracy_p,F1_Spearman_rho,F1_p
Delta,0.4666666666666666,0.2053863511058118,0.4666666666666666,0.2053863511058118
Theta,0.1833333333333333,0.6368198117628943,0.1833333333333333,0.6368198117628943
Alpha_Mu,-0.0166666666666666,0.966054803994686,-0.0166666666666666,0.966054803994686
Beta,0.0833333333333333,0.831214097710308,0.0833333333333333,0.831214097710308
Gamma,-0.0833333333333333,0.831214097710308,-0.0833333333333333,0.831214097710308
