Subject,Channel,R2,R2_percent
A01,Fz,0.639517685805296,63.9517685805296
A01,FC3,0.471851398618566,47.185139861856605
A01,FC1,0.4165172519322713,41.65172519322713
A01,FCz,0.3984794166896994,39.847941668969945
A01,FC2,0.4217653626994113,42.17653626994113
A01,FC4,0.4844176003658902,48.441760036589024
A01,C5,0.3668040980196864,36.68040980196864
A01,C3,0.3204394140998355,32.04394140998355
A01,C1,0.2938806569390968,29.38806569390968
A01,Cz,0.2833605069258074,28.336050692580734
A01,C2,0.3243822406726871,32.43822406726872
A01,C4,0.3605512732152777,36.05512732152777
A01,C6,0.4419066562587553,44.19066562587554
A01,CP3,0.2299291444928372,22.99291444928372
A01,CP1,0.229086834026727,22.908683402672704
A01,CPz,0.220919984508224,22.0919984508224
A01,CP2,0.2525015708676569,25.25015708676569
A01,CP4,0.2748026535807776,27.48026535807776
A01,P1,0.1705237139256273,17.052371392562737
A01,Pz,0.1796207949221359,17.96207949221359
A01,P2,0.1922372575120539,19.22372575120539
A01,POz,0.1303130620077016,13.031306200770166
A02,Fz,0.7959398274944315,79.59398274944314
A02,FC3,0.6421990116581673,64.21990116581672
A02,FC1,0.5950486923099814,59.50486923099814
A02,FCz,0.5866547179739896,58.66547179739896
A02,FC2,0.5900542086908236,59.00542086908236
A02,FC4,0.6477630192000219,64.77630192000218
A02,C5,0.5000380480264028,50.00380480264028
A02,C3,0.483075822602563,48.3075822602563
A02,C1,0.4591492084990261,45.91492084990261
A02,Cz,0.4331601442369268,43.316014423692685
A02,C2,0.483785652035547,48.3785652035547
A02,C4,0.526645711341218,52.66457113412179
A02,C6,0.5791282033052192,57.91282033052192
A02,CP3,0.36728992767483,36.72899276748301
A02,CP1,0.3724062623687079,37.24062623687079
A02,CPz,0.3634278084470085,36.34278084470085
A02,CP2,0.3985632024069758,39.85632024069759
A02,CP4,0.4354272885785216,43.54272885785216
A02,P1,0.3058513446195036,30.58513446195036
A02,Pz,0.3197118564718909,31.97118564718909
A02,P2,0.336328969048088,33.63289690480881
A02,POz,0.2782097041585754,27.820970415857538
A03,Fz,0.8481428448781881,84.81428448781881
A03,FC3,0.6774350251877892,67.74350251877893
A03,FC1,0.665824824180399,66.5824824180399
A03,FCz,0.6702570010828488,67.02570010828488
A03,FC2,0.6740681698161957,67.40681698161957
A03,FC4,0.6941187104251497,69.41187104251497
A03,C5,0.5502719965055145,55.02719965055145
A03,C3,0.4881780916071702,48.81780916071702
A03,C1,0.5083337891526984,50.83337891526985
A03,Cz,0.5181026203098906,51.810262030989065
A03,C2,0.5278315324861702,52.78315324861702
A03,C4,0.5402639080587787,54.02639080587787
A03,C6,0.5465342075161764,54.653420751617645
A03,CP3,0.3580671350339419,35.80671350339419
A03,CP1,0.3763268482802954,37.63268482802954
A03,CPz,0.3810508128109707,38.10508128109708
A03,CP2,0.3976345913549612,39.76345913549613
A03,CP4,0.3995272646209981,39.95272646209981
A03,P1,0.2554349971162347,25.543499711623475
A03,Pz,0.2740460222234191,27.40460222234191
A03,P2,0.261254277652347,26.125427765234697
A03,POz,0.1692252105187016,16.922521051870167
A04,Fz,0.6476883326478541,64.76883326478541
A04,FC3,0.4552822926778189,45.528229267781896
A04,FC1,0.4552126795673344,45.521267956733446
A04,FCz,0.4681144213990853,46.811442139908536
A04,FC2,0.527254562660064,52.7254562660064
A04,FC4,0.6040120899803456,60.40120899803456
A04,C5,0.2766335313572482,27.663353135724822
A04,C3,0.3080270476884854,30.802704768848542
A04,C1,0.3220580388909823,32.20580388909823
A04,Cz,0.3307294494105762,33.07294494105763
A04,C2,0.4035469681350198,40.35469681350198
A04,C4,0.4737317075562283,47.37317075562283
A04,C6,0.557203214141663,55.72032141416629
A04,CP3,0.2116837048016404,21.168370480164043
A04,CP1,0.2276963032169195,22.76963032169196
A04,CPz,0.2342803232041324,23.42803232041324
A04,CP2,0.2967249070997068,29.67249070997068
A04,CP4,0.3483693632520728,34.83693632520728
A04,P1,0.1452139204573018,14.521392045730186
A04,Pz,0.1632120637154283,16.32120637154283
A04,P2,0.1846644242708088,18.466442427080885
A04,POz,0.1091734453872965,10.917344538729656
A05,Fz,0.714450374696458,71.4450374696458
A05,FC3,0.51566264694822,51.566264694822
A05,FC1,0.4898153460071123,48.98153460071123
A05,FCz,0.5092002929762152,50.92002929762152
A05,FC2,0.5330419151731596,53.30419151731596
A05,FC4,0.6234415441303299,62.344154413033
A05,C5,0.4198080950268196,41.98080950268196
A05,C3,0.3690837479992884,36.90837479992884
A05,C1,0.3601801769775495,36.01801769775496
A05,Cz,0.3693543432678757,36.93543432678757
A05,C2,0.418495373406359,41.8495373406359
A05,C4,0.4943675615158401,49.436756151584014
A05,C6,0.5970740734275954,59.707407342759545
A05,CP3,0.2853179068428876,28.53179068428876
A05,CP1,0.2984162665256358,29.84162665256358
A05,CPz,0.3089775632368903,30.89775632368903
A05,CP2,0.3487329284267932,34.87329284267933
A05,CP4,0.3981677153565987,39.81677153565987
A05,P1,0.2490537544259898,24.905375442598988
A05,Pz,0.2512209168487745,25.122091684877457
A05,P2,0.2740880491012127,27.40880491012128
A05,POz,0.1966361438408016,19.66361438408016
A06,Fz,0.456785585782156,45.6785585782156
A06,FC3,0.3226434029304478,32.26434029304478
A06,FC1,0.3053971832856232,30.539718328562326
A06,FCz,0.2977996323345917,29.77996323345917
A06,FC2,0.348742709925121,34.8742709925121
A06,FC4,0.4061199042334008,40.61199042334008
A06,C5,0.2617447713379919,26.17447713379919
A06,C3,0.2136669310843012,21.366693108430123
