Subject,Band,Low_Hz,High_Hz,Raw_Absolute_Power,Clean_Absolute_Power,Absolute_Power_Change,Absolute_Power_Change_Percent,Raw_Relative_Power,Clean_Relative_Power,Relative_Power_Change,Relative_Power_Change_Percent,Delta_Accuracy,Delta_F1
A01,Theta,4.0,8.0,11.049215315204258,9.421181988632672,-1.6280333265715845,-14.734379592832545,0.2674971986606196,0.2977784440777727,0.030281245417153,11.320210293331565,-0.0249110320284697,-0.027914278507571
A01,Alpha_Mu,8.0,13.0,10.823399944265253,8.610838148113151,-2.2125617961521016,-20.442391554831357,0.2641074353251692,0.2697689196832987,0.0056614843581294,2.1436292966000905,-0.0249110320284697,-0.027914278507571
A01,Beta,13.0,30.0,15.207714149132403,10.874289467767303,-4.3334246813650985,-28.49491145658021,0.3738310380058363,0.3453426146444867,-0.0284884233613495,-7.620668287287794,-0.0249110320284697,-0.027914278507571
A01,Gamma,30.0,38.0,3.7799502463424206,2.28982388797131,-1.4901263583711106,-39.421851115976885,0.0932173567629602,0.0740143489515798,-0.0192030078113804,-20.600249222053343,-0.0249110320284697,-0.027914278507571
A02,Theta,4.0,8.0,12.198061922118962,8.460501871624782,-3.73756005049418,-30.64060564995818,0.1742511550634017,0.2490060039367628,0.074754848873361,42.90063319589547,-0.0388692579505299,-0.0270823723691391
A02,Alpha_Mu,8.0,13.0,16.830783797954062,7.464895036132306,-9.365888761821756,-55.64737135391322,0.2431154255245683,0.2196453818873324,-0.0234700436372359,-9.653868563294496,-0.0388692579505299,-0.0270823723691391
A02,Beta,13.0,30.0,61.57801876745327,19.887293838364496,-41.69072492908877,-67.70390760139911,0.900997954304558,0.5890455147052339,-0.3119524395993241,-34.6229908857126,-0.0388692579505299,-0.0270823723691391
A02,Gamma,30.0,38.0,24.644973151078712,6.631870332478743,-18.013102818599968,-73.09037306787057,0.3611958359429169,0.1970294984647259,-0.1641663374781909,-45.45078352014438,-0.0388692579505299,-0.0270823723691391
A03,Theta,4.0,8.0,12.165632137680568,10.063549428562805,-2.1020827091177647,-17.278861347508542,0.1861071174819164,0.247751283401731,0.0616441659198145,33.12294916705934,-0.0036630036630036,-0.0015693192651327
A03,Alpha_Mu,8.0,13.0,25.01719138714312,22.701340323392305,-2.315851063750813,-9.257038601627276,0.3717846150433334,0.5045761838137777,0.1327915687704443,35.717338318307434,-0.0036630036630036,-0.0015693192651327
A03,Beta,13.0,30.0,24.333656723772386,9.713647763592569,-14.620008960179812,-60.08143012018833,0.3722364111231163,0.2358486579227937,-0.1363877532003226,-36.64008923490633,-0.0036630036630036,-0.0015693192651327
A03,Gamma,30.0,38.0,7.652467502675416,2.407401922121885,-5.245065580553531,-68.54084096038015,0.1173272625251915,0.0595978782239019,-0.0577293843012896,-49.20372559522939,-0.0036630036630036,-0.0015693192651327
A04,Theta,4.0,8.0,11.69813859808055,9.95925088416334,-1.7388877139172116,-14.864653032940907,0.3285782118131539,0.3416954428282016,0.0131172310150476,3.992118327829603,-0.0263157894736841,-0.0274821218015374
A04,Alpha_Mu,8.0,13.0,9.755860019910724,8.349463055360062,-1.4063969645506624,-14.41591988487277,0.2687938015156754,0.2695795120115983,0.0007857104959229,0.2923097524914793,-0.0263157894736841,-0.0274821218015374
A04,Beta,13.0,30.0,12.589640744481446,10.381203550371517,-2.20843719410993,-17.54170145862167,0.3556641380304347,0.3516547338744174,-0.0040094041560172,-1.1273006545501527,-0.0263157894736841,-0.0274821218015374
