EEG_Band,Feature_Column,N_Subjects,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Theta,Theta_Relative_Power,9,-0.5033919477705561,0.1671235483495764,-0.4166666666666666,0.2645860467474961
Alpha_Mu,Alpha_Mu_Relative_Power,9,0.1742637290251486,0.6538545228977322,0.3333333333333333,0.3807131816768634
Beta,Beta_Relative_Power,9,0.1870126347500325,0.629950515563806,-0.0166666666666666,0.966054803994686
Gamma,Gamma_Relative_Power,9,0.3300379433213863,0.3857295856464732,0.4666666666666666,0.2053863511058118
