Feature,N_Subjects,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Delta_Theta_R2,9,-0.5244311314901678,0.1472121075451722,-0.5797509043642028,0.1017862149968712
Delta_Alpha_Mu_R2,9,-0.776207036831316,0.0139163601011744,-0.5533985905294664,0.1221824916242884
Delta_Beta_R2,9,-0.2997842482927366,0.4331925949193484,-0.2108185106778919,0.5861141333812967
Delta_Gamma_R2,9,-0.4044441898009506,0.280281207878242,-0.2108185106778919,0.5861141333812967
Delta_Overall_R2,9,-0.6858224823498925,0.0413986560187436,-0.4479893351905204,0.2265491687384389
