Subject,All_Clean,Theta_Clean,Alpha_Mu_Clean,Beta_Clean,Gamma_Clean
A01,-0.0453315571667178,-0.034067597698438,-0.0514802244887697,-0.0158556599655314,-0.0042929546616553
A02,0.029886472664149,-0.0305566706370922,-0.0396981478194636,-0.0091542572457041,-0.0008520026836669
A03,-0.0014838274201216,-0.0529301327836964,-0.0670456230721185,0.0084548194604718,0.0170409494416584
A04,0.0758507224690858,0.0337449074843699,0.0767658995413467,-0.0252189584450074,0.026477866046526
A05,0.0407917273134869,0.0090164664139083,0.1342046410972302,0.1318357884414089,-0.0010316250442126
A06,0.011524044117987,-0.0491460563392157,0.045262296178642,-0.0883611971459503,-0.0972919149411428
A07,0.0242744365035662,0.0539385230101997,0.0898121246687621,0.0933902879839957,0.0796615711844128
A08,0.0240927902489979,0.0171201875933245,-0.0627680617701625,-0.0150469455247307,-0.0193053413355169
A09,0.0803498848905676,0.0068453678634666,0.0353342755719179,0.0449567755940046,0.0588910246280138
