Band,Channel,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mu,C3,0.0262018442986916,0.9466525699471542,-0.2092068521889307,0.5890472411061645
Mu,Cz,0.4644057216941943,0.2078873132305914,0.5606743638663344,0.1163267949931928
Mu,C4,0.064178991965512,0.86970357361271,-0.0585779186129006,0.8810067501468761
Beta,C3,-0.2041235618767541,0.5983322244501612,0.0083682740875572,0.9829532868330848
Beta,Cz,-0.2746509831368469,0.4744741318045544,-0.3347309635022892,0.3785949612819269
Beta,C4,-0.2218905319139717,0.5661064592910765,-0.184102029926259,0.6353826478012163
