Band,Channel,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Mu,C3,0.2929281775989933,0.4442918823843817,-0.0833333333333333,0.831214097710308
Mu,Cz,0.5743375087304705,0.1057934882827145,0.3833333333333333,0.3084952723803714
Mu,C4,0.2576407551403333,0.503311273986308,-0.0166666666666666,0.966054803994686
Beta,C3,-0.1066894135208851,0.784705205779361,-0.0666666666666666,0.8646897846262037
Beta,Cz,-0.0517923667653417,0.8947250277844279,-0.2666666666666666,0.4879222748387009
Beta,C4,-0.0887472687428861,0.8203879729405109,-0.1833333333333333,0.6368198117628943
