Subject,Channel_Index,Channel,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Delta_Accuracy,Delta_F1
A01,0,Fz,0.0337436431189134,0.0118985747784052,-0.0218450683405081,-0.0249110320284697,-0.027914278507571
A01,1,FC3,0.0282581096607832,0.0190212776647939,-0.0092368319959893,-0.0249110320284697,-0.027914278507571
A01,2,FC1,0.0265412584065311,0.0148332357331613,-0.0117080226733697,-0.0249110320284697,-0.027914278507571
A01,3,FCz,0.0240191205340725,0.0116858699171844,-0.012333250616888,-0.0249110320284697,-0.027914278507571
A01,4,FC2,0.0200039701441011,0.0112631194747263,-0.0087408506693748,-0.0249110320284697,-0.027914278507571
A01,5,FC4,0.0108327570584464,0.0022755640803839,-0.0085571929780625,-0.0249110320284697,-0.027914278507571
A01,6,C5,0.0056524114212303,0.0170075165503575,0.0113551051291271,-0.0249110320284697,-0.027914278507571
A01,7,C3,0.0163726650620074,0.0302255676639451,0.0138529026019376,-0.0249110320284697,-0.027914278507571
A01,8,C1,0.0141282655076177,0.0122096312263735,-0.0019186342812441,-0.0249110320284697,-0.027914278507571
A01,9,Cz,0.0166877124649465,0.0121432394787588,-0.0045444729861877,-0.0249110320284697,-0.027914278507571
A01,10,C2,0.0125586669172257,0.0101440505653921,-0.0024146163518336,-0.0249110320284697,-0.027914278507571
A01,11,C4,0.01072848161902,0.0141459655170049,0.0034174838979849,-0.0249110320284697,-0.027914278507571
A01,12,C6,0.0027865107942829,0.0015920701147422,-0.0011944406795407,-0.0249110320284697,-0.027914278507571
A01,13,CP3,0.0377725216601223,0.0739520003630894,0.0361794787029671,-0.0249110320284697,-0.027914278507571
A01,14,CP1,0.0113604252369527,0.01836790851371,0.0070074832767572,-0.0249110320284697,-0.027914278507571
A01,15,CPz,0.0105377413480027,0.0084603912394507,-0.002077350108552,-0.0249110320284697,-0.027914278507571
A01,16,CP2,0.0090811278459779,0.0074081389518941,-0.0016729888940838,-0.0249110320284697,-0.027914278507571
A01,17,CP4,0.0187613050787447,0.0294004067923199,0.0106391017135752,-0.0249110320284697,-0.027914278507571
A01,18,P1,0.0224148421572365,0.0428997419117831,0.0204848997545466,-0.0249110320284697,-0.027914278507571
A01,19,Pz,0.0113830963653688,0.017992801054916,0.0066097046895471,-0.0249110320284697,-0.027914278507571
A01,20,P2,0.0117476054498923,0.0176530839103227,0.0059054784604304,-0.0249110320284697,-0.027914278507571
A01,21,POz,0.0196555799343756,0.0309963658227849,0.0113407858884092,-0.0249110320284697,-0.027914278507571
A02,0,Fz,0.0138425893431647,0.0096850450465096,-0.0041575442966551,-0.0388692579505299,-0.0270823723691391
A02,1,FC3,0.0145347465223673,0.0150794659568765,0.0005447194345092,-0.0388692579505299,-0.0270823723691391
A02,2,FC1,0.0141223988460979,0.0127043302184024,-0.0014180686276954,-0.0388692579505299,-0.0270823723691391
A02,3,FCz,0.0143732345618754,0.0120629261551978,-0.0023103084066775,-0.0388692579505299,-0.0270823723691391
A02,4,FC2,0.0145027233329088,0.0135739728078158,-0.0009287505250929,-0.0388692579505299,-0.0270823723691391
A02,5,FC4,0.0150272343786965,0.0162015116279812,0.0011742772492847,-0.0388692579505299,-0.0270823723691391
A02,6,C5,0.0135872484131265,0.0132743769444111,-0.0003128714687154,-0.0388692579505299,-0.0270823723691391
A02,7,C3,0.0145800368323637,0.0154118510611839,0.0008318142288202,-0.0388692579505299,-0.0270823723691391
A02,8,C1,0.0144693986273661,0.0150188418964237,0.0005494432690575,-0.0388692579505299,-0.0270823723691391
A02,9,Cz,0.0149935527143882,0.0164911832164892,0.001497630502101,-0.0388692579505299,-0.0270823723691391
A02,10,C2,0.0146342100163488,0.0151684733705229,0.0005342633541741,-0.0388692579505299,-0.0270823723691391
A02,11,C4,0.0151056904876869,0.0166442550428495,0.0015385645551625,-0.0388692579505299,-0.0270823723691391
A02,12,C6,0.013330236117197,0.0108120661665469,-0.00251816995065,-0.0388692579505299,-0.0270823723691391
A02,13,CP3,0.0144754589766551,0.015170723144791,0.0006952641681358,-0.0388692579505299,-0.0270823723691391
A02,14,CP1,0.014278793662437,0.014831877066927,0.00055308340449,-0.0388692579505299,-0.0270823723691391
A02,15,CPz,0.0146923582410955,0.0156661187735524,0.0009737605324569,-0.0388692579505299,-0.0270823723691391
A02,16,CP2,0.0144126056270463,0.0145740132347241,0.0001614076076778,-0.0388692579505299,-0.0270823723691391
A02,17,CP4,0.0142491876113688,0.0138612740671453,-0.0003879135442235,-0.0388692579505299,-0.0270823723691391
A02,18,P1,0.0141108742357985,0.0145911588959927,0.0004802846601942,-0.0388692579505299,-0.0270823723691391
A02,19,Pz,0.0140734988115585,0.014216490731708,0.0001429919201495,-0.0388692579505299,-0.0270823723691391
A02,20,P2,0.013893531026329,0.0134458487240358,-0.0004476823022932,-0.0388692579505299,-0.0270823723691391
A02,21,POz,0.0136711300789099,0.0135174563007878,-0.0001536737781221,-0.0388692579505299,-0.0270823723691391
A03,0,Fz,0.0114916314166229,0.0705010737720715,0.0590094423554485,-0.0036630036630036,-0.0015693192651327
A03,1,FC3,0.0161910471853338,0.0679150536226296,0.0517240064372958,-0.0036630036630036,-0.0015693192651327
A03,2,FC1,0.0187915204917279,0.0917655352652295,0.0729740147735015,-0.0036630036630036,-0.0015693192651327
A03,3,FCz,0.0190153540208819,0.0744155749039452,0.0554002208830632,-0.0036630036630036,-0.0015693192651327
A03,4,FC2,0.0221046936124456,0.0898620320555841,0.0677573384431384,-0.0036630036630036,-0.0015693192651327
A03,5,FC4,0.0159166580558804,0.0511572414268693,0.0352405833709889,-0.0036630036630036,-0.0015693192651327
A03,6,C5,0.0080447943034284,0.0566375990542594,0.048592804750831,-0.0036630036630036,-0.0015693192651327
A03,7,C3,0.0465784626928028,0.128902753008634,0.0823242903158311,-0.0036630036630036,-0.0015693192651327
A03,8,C1,0.0331618699498238,0.1310877658342442,0.0979258958844203,-0.0036630036630036,-0.0015693192651327
A03,9,Cz,0.0283591301862432,0.1194912186358436,0.0911320884496003,-0.0036630036630036,-0.0015693192651327
A03,10,C2,0.0395446030409063,0.1494047818693773,0.1098601788284709,-0.0036630036630036,-0.0015693192651327
A03,11,C4,0.0489497676798703,0.1313545902171804,0.0824048225373101,-0.0036630036630036,-0.0015693192651327
A03,12,C6,0.024747376672358,0.0382850872845062,0.0135377106121482,-0.0036630036630036,-0.0015693192651327
A03,13,CP3,0.0628713904940216,0.153244193976866,0.0903728034828443,-0.0036630036630036,-0.0015693192651327
A03,14,CP1,0.0619907026149476,0.1578484312256959,0.0958577286107482,-0.0036630036630036,-0.0015693192651327
A03,15,CPz,0.0635179297036902,0.1586281562441653,0.0951102265404751,-0.0036630036630036,-0.0015693192651327
A03,16,CP2,0.0803463888659608,0.1939534234074195,0.1136070345414586,-0.0036630036630036,-0.0015693192651327
A03,17,CP4,0.08829571984595,0.2031447825227417,0.1148490626767916,-0.0036630036630036,-0.0015693192651327
A03,18,P1,0.0713914583596374,0.1633606292820427,0.0919691709224053,-0.0036630036630036,-0.0015693192651327
A03,19,Pz,0.0793437391127649,0.1677727144352495,0.0884289753224845,-0.0036630036630036,-0.0015693192651327
A03,20,P2,0.0938201633908605,0.18081101805835,0.0869908546674895,-0.0036630036630036,-0.0015693192651327
A03,21,POz,0.0643058985416272,0.1286946988504127,0.0643888003087854,-0.0036630036630036,-0.0015693192651327
A04,0,Fz,0.0269569965256396,0.0177339134054222,-0.0092230831202174,-0.0263157894736841,-0.0274821218015374
A04,1,FC3,0.011071498150982,0.0056010291573305,-0.0054704689936515,-0.0263157894736841,-0.0274821218015374
