Subject,Predicted_Lambda,Actual_Best_Lambda,Action_Correct,Selected_Features,Adaptive_Accuracy,Adaptive_F1,Raw_Accuracy,Raw_F1,Lambda_075_Accuracy,Lambda_075_F1,Lambda_100_Accuracy,Lambda_100_F1,Oracle_Accuracy,Oracle_F1,Adaptive_Accuracy_Change,Adaptive_F1_Change,Accuracy_Regret,F1_Regret
A01,0.0,0.0,1,EOG_Gamma_R2+Delta_Alpha_Mu_R2,0.6227758007117438,0.6150849154850597,0.6227758007117438,0.6150849154850597,0.597864768683274,0.5871706369774887,0.604982206405694,0.5890743461201681,0.6227758007117438,0.6150849154850597,0.0,0.0,0.0,0.0
A02,0.0,1.0,0,EOG_Gamma_R2+Delta_Alpha_Mu_R2,0.342756183745583,0.3286963549329631,0.342756183745583,0.3286963549329631,0.303886925795053,0.301613982563824,0.3533568904593639,0.3465437799389377,0.3533568904593639,0.3465437799389377,0.0,0.0,0.0106007067137809,0.0178474250059745
A03,0.75,0.0,0,Delta_Alpha_Mu_R2,0.6886446886446886,0.6755069174576627,0.6923076923076923,0.6770762367227954,0.6886446886446886,0.6755069174576627,0.6886446886446886,0.6705209065830042,0.6923076923076923,0.6770762367227954,-0.0036630036630036,-0.0015693192651327,0.0036630036630036,0.0015693192651327
A04,0.75,0.0,0,EOG_Gamma_R2+Delta_Alpha_Mu_R2,0.4122807017543859,0.4056147965706103,0.4385964912280701,0.4330969183721477,0.4122807017543859,0.4056147965706103,0.425438596491228,0.4174527998352659,0.4385964912280701,0.4330969183721477,-0.0263157894736841,-0.0274821218015374,0.0263157894736841,0.0274821218015374
A05,1.0,1.0,1,EOG_Gamma_R2+Delta_Alpha_Mu_R2,0.3659420289855072,0.3420109733870915,0.3152173913043478,0.2458182770358732,0.3369565217391304,0.3083240334077327,0.3659420289855072,0.3420109733870915,0.3659420289855072,0.3420109733870915,0.0507246376811594,0.0961926963512183,0.0,0.0
A06,0.0,0.75,0,Delta_Alpha_Mu_R2,0.4511627906976744,0.4432450739825371,0.4511627906976744,0.4432450739825371,0.4511627906976744,0.4457056016272883,0.4372093023255814,0.4263891495146363,0.4511627906976744,0.4457056016272883,0.0,0.0,0.0,0.0024605276447511
A07,1.0,1.0,1,EOG_Gamma_R2+Delta_Alpha_Mu_R2,0.51985559566787,0.5192989536088699,0.4548736462093863,0.4498733765374632,0.516245487364621,0.5157769163170829,0.51985559566787,0.5192989536088699,0.51985559566787,0.5192989536088699,0.0649819494584836,0.0694255770714067,0.0,0.0
A08,0.0,0.0,1,Delta_Theta_R2+Delta_Alpha_Mu_R2,0.6568265682656826,0.6560994137607762,0.6568265682656826,0.6560994137607762,0.6568265682656826,0.6539070250524224,0.6531365313653137,0.6424232208051595,0.6568265682656826,0.6560994137607762,0.0,0.0,0.0,0.0
A09,1.0,0.0,0,Delta_Theta_R2+Delta_Alpha_Mu_R2,0.6477272727272727,0.6497702417057256,0.6590909090909091,0.6582576519785905,0.6401515151515151,0.6429866543547238,0.6477272727272727,0.6497702417057256,0.6590909090909091,0.6582576519785905,-0.0113636363636363,-0.0084874102728649,0.0113636363636363,0.0084874102728649
