Band,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Mu,0.1552380032419933,0.6900340742886227,0.1087875631382439,0.7805538526280621,0.376057934298376,0.318538064463005,0.1166666666666666,0.7650079429261462
Beta,-0.2490932911390923,0.5180624060366731,-0.2008385781013735,0.6043593545214949,-0.090626171829082,0.816636813634329,-0.2333333333333333,0.5456987782182727
