EOG_Change_Feature,N_Subjects,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Delta_Theta_R2,9,0.295007801416379,0.4409121338481974,0.1054092553389459,0.7872404144981762
Delta_Alpha_Mu_R2,9,0.1922366816388705,0.6202392611636318,0.2635231383473649,0.4932597104489966
Delta_Beta_R2,9,-0.0249348232932952,0.949229506644439,0.3952847075210474,0.2923519924402384
Delta_Gamma_R2,9,-0.1989562547593894,0.607822322808079,-0.1581138830084189,0.6845283355605285
Delta_Overall_R2,9,0.2682967788790746,0.4851639346295964,0.3162277660168379,0.4070838220655892
