Subject,Condition,Accuracy,Macro_F1,Raw_Accuracy,Raw_F1,Accuracy_Improvement,F1_Improvement,Delta_Theta_R2,Delta_Alpha_Mu_R2,Delta_Beta_R2,Delta_Gamma_R2,Delta_Overall_R2
A01,All_Clean,0.5871886120996441,0.5697533583183418,0.6227758007117438,0.6150849154850597,-0.0355871886120996,-0.0453315571667178,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.0240637858338016
A02,All_Clean,0.3674911660777385,0.3585828275971122,0.342756183745583,0.3286963549329631,0.0247349823321555,0.029886472664149,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.0131028361058335
A03,All_Clean,0.7032967032967034,0.6755924093026737,0.6923076923076923,0.6770762367227954,0.010989010989011,-0.0014838274201216,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,All_Clean,0.5087719298245614,0.5089476408412336,0.4385964912280701,0.4330969183721477,0.0701754385964913,0.0758507224690858,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.0245458659521001
A05,All_Clean,0.3442028985507246,0.2866100043493601,0.3152173913043478,0.2458182770358732,0.0289855072463768,0.0407917273134869,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.0141589614041177
A06,All_Clean,0.4651162790697674,0.4547691181005242,0.4511627906976744,0.4432450739825371,0.0139534883720929,0.011524044117987,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.0265226211325107
A07,All_Clean,0.4909747292418772,0.4778662020610823,0.4584837545126354,0.4535917655575161,0.0324909747292417,0.0242744365035662,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.0122874675275699
A08,All_Clean,0.6900369003690037,0.6806904293046201,0.6568265682656826,0.6565976390556222,0.033210332103321,0.0240927902489979,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.0260781911707867
A09,All_Clean,0.7386363636363636,0.7386075368691581,0.6590909090909091,0.6582576519785905,0.0795454545454545,0.0803498848905676,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.016914962702813
A01,Theta_Clean,0.597864768683274,0.5810173177866217,0.6227758007117438,0.6150849154850597,-0.0249110320284697,-0.034067597698438,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.0240637858338016
A02,Theta_Clean,0.3215547703180212,0.2981396842958709,0.342756183745583,0.3286963549329631,-0.0212014134275617,-0.0305566706370922,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.0131028361058335
A03,Theta_Clean,0.6556776556776557,0.624146103939099,0.6923076923076923,0.6770762367227954,-0.0366300366300366,-0.0529301327836964,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Theta_Clean,0.4692982456140351,0.4668418258565177,0.4385964912280701,0.4330969183721477,0.030701754385965,0.0337449074843699,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.0245458659521001
