Subject,Raw_RMS,Clean_RMS,RMS_Change_Percent,Raw_Variance,Clean_Variance,Variance_Change_Percent,Raw_EOG_Coupling,Clean_EOG_Coupling,EOG_Coupling_Change_Percent,Delta_Accuracy,Delta_F1,Benefit_Group
A01,7.350578993938607,6.414702520298476,-12.732010286698085,54.03094475460226,41.148368244393765,-23.84295993475328,0.4007412911469269,0.1344899873966156,-66.43969803767827,-0.0249110320284697,-0.027914278507571,No_Benefit
A02,12.017323278576464,7.341601350311556,-38.90818129691506,144.41583750065635,53.89909121753325,-62.6778529624299,0.8316290082460953,0.5936495966889487,-28.616054658680675,-0.0388692579505299,-0.0270823723691391,No_Benefit
A03,9.218088356984548,7.4318340563047744,-19.377708604043995,84.97314640705164,55.23213682773287,-35.00048054811192,0.5744806786100182,0.1712805706662405,-70.18514685634656,-0.0036630036630036,-0.0015693192651327,No_Benefit
A04,6.733300897260108,6.155755554338898,-8.577447402598958,45.33733222635572,37.89326915988244,-16.4192789935396,0.3347688181523052,0.1008485904325531,-69.87515414692194,-0.0263157894736841,-0.0274821218015374,No_Benefit
A05,7.866032298303615,5.858423605242293,-25.522507624260356,61.874375739027705,34.321054836806404,-44.53106891685672,0.6340070591732276,0.3672492754978883,-42.07489172489703,0.0217391304347825,0.0625057563718594,Benefits
A06,9.552109323699666,8.34827657351102,-12.602794936630648,91.24226231144036,69.6931232214915,-23.617497576281533,0.4256646101969863,0.1277453447703247,-69.98920236493056,0.0,0.0024605276447511,No_Benefit
A07,6.866744764499488,6.221379949195656,-9.398409835185891,47.15217915991853,38.70555087775174,-17.913548074882623,0.3133257206565135,0.0863524875311445,-72.44002587779595,0.0613718411552346,0.0659035397796197,Benefits
A08,10.66557405271976,7.703124545627915,-27.77580927616746,113.7544412380034,59.33809757681677,-47.83667614993047,0.6271140858235943,0.224154136287246,-64.25624278669129,0.0,-0.0021923887083538,No_Benefit
A09,12.26019539330561,11.180475307387606,-8.806711893903087,150.31209782818763,125.00290239065616,-16.837763429036052,0.325312924936644,0.0548002128950441,-83.15461554264509,-0.0189393939393939,-0.0152709976238667,No_Benefit
