Subject,Raw_Feature_Dimension,Clean_Feature_Dimension,Raw_Mean_Embedding_Norm,Clean_Mean_Embedding_Norm
A01,224,224,14.624731644103576,14.7166482425921
A02,224,224,14.339955736358114,13.818695531381218
A03,224,224,14.66368086565856,14.691605546424835
A04,224,224,14.568327510755132,14.64885786817005
A05,224,224,14.756754755506243,14.820147891216134
A06,224,224,14.65488937435971,14.531353168528122
A07,224,224,14.76364569228632,14.683103202650823
A08,224,224,14.710183211662931,14.754261244481112
A09,224,224,14.777489339815016,14.750461284742588
