Channel,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
C3,0.0184700974561469,0.9623837216584616,0.15,0.7000942309691419
Cz,-0.2631949058018935,0.4938183972158042,0.1166666666666666,0.7650079429261462
C4,-0.2276825389864414,0.5557416629037252,0.1666666666666666,0.668231040071504
