Subject,Best_Accuracy_Lambda,Best_Accuracy,Accuracy_Gain_vs_Raw,Best_F1_Lambda,Best_F1,F1_Gain_vs_Raw
A01,0.0,0.6227758007117438,0.0,0.0,0.6150849154850597,0.0
A02,1.0,0.4275618374558304,0.0848056537102473,1.0,0.4294867597315074,0.1007904047985442
A03,1.0,0.717948717948718,0.0256410256410256,1.0,0.6987398301061474,0.0216635933833519
A04,0.75,0.5394736842105263,0.1008771929824561,0.75,0.5341184907325685,0.1010215723604207
A05,0.25,0.4094202898550724,0.0942028985507246,0.25,0.3980090297200297,0.1521907526841565
A06,0.5,0.4930232558139535,0.0418604651162791,0.5,0.4871575035635421,0.043912429581005
A07,0.25,0.5451263537906137,0.0902527075812273,0.25,0.5420264892160219,0.0921531126785587
A08,1.0,0.7121771217712177,0.055350553505535,1.0,0.7088721373699218,0.0527727236091456
A09,0.25,0.7196969696969697,0.0606060606060606,0.25,0.7208808109987696,0.062623159020179
