Subject,Window_Start_s,Window_End_s,Window_Center_s,Raw_Left_Hand_Lateralization,Clean_Left_Hand_Lateralization,Delta_Left_Hand_Lateralization,Raw_Right_Hand_Lateralization,Clean_Right_Hand_Lateralization,Delta_Right_Hand_Lateralization
A01,2.0,2.5,2.25,-0.0485401404259712,-0.0082724028786732,0.0402677375472979,-0.1056070173819418,-0.0333886075521543,0.0722184098297874
A01,2.1,2.6,2.35,-0.0553130858928738,-0.0403224101967148,0.0149906756961589,-0.0219346604519316,0.0238041954767418,0.0457388559286734
A01,2.2,2.7,2.45,-0.0444987317740636,-0.0141750975035413,0.0303236342705223,0.0213307150978516,0.0182932786616622,-0.0030374364361893
A01,2.3000000000000003,2.8000000000000003,2.5500000000000003,0.005310040623523,0.0263555276266833,0.0210454870031603,-0.0051875523568178,-0.0055995148187405,-0.0004119624619227
A01,2.4000000000000004,2.9000000000000004,2.6500000000000004,0.0311324625114038,0.041375607610482,0.0102431450990781,0.0048355085890087,0.0218473859827273,0.0170118773937185
A01,2.5000000000000004,3.0000000000000004,2.7500000000000004,-0.0363197375193924,-0.0099168384546339,0.0264028990647585,0.0007577966011605,0.0568331887897364,0.0560753921885758
A01,2.6000000000000005,3.1000000000000005,2.8500000000000005,-0.0155704522761625,0.0198272851345814,0.0353977374107439,0.021534076641101,0.0853206766690052,0.0637866000279041
A01,2.7000000000000006,3.2000000000000006,2.9500000000000006,-0.0704572640809586,-0.0415321147314881,0.0289251493494705,0.0217380569440577,0.0552381537247814,0.0335000967807237
A01,2.8000000000000007,3.3000000000000007,3.0500000000000007,0.0100150597543453,0.0493043359713762,0.0392892762170309,0.022489053924996,0.0395625618526468,0.0170735079276507
A01,2.900000000000001,3.400000000000001,3.150000000000001,0.1465678057543458,0.1942194353301817,0.0476516295758358,-0.056405441438082,-0.0246617863840356,0.0317436550540463
A01,3.000000000000001,3.500000000000001,3.250000000000001,0.1041654991756915,0.1557082448211953,0.0515427456455038,-0.1099328340597451,-0.0516470577104154,0.0582857763493297
A01,3.100000000000001,3.600000000000001,3.350000000000001,0.0336589512593776,0.0521371376720491,0.0184781864126714,-0.0175706999510846,0.0734877510346738,0.0910584509857585
A01,3.200000000000001,3.700000000000001,3.450000000000001,0.0215141290053536,0.0586801991634089,0.0371660701580553,0.0086544626403301,0.106014347993096,0.0973598853527658
A01,3.300000000000001,3.800000000000001,3.550000000000001,0.0400219516697522,0.0603287673517496,0.0203068156819973,-0.0147788088822212,0.0348092705122248,0.049588079394446
A01,3.400000000000001,3.900000000000001,3.650000000000001,0.0428736834526812,0.0175385817798032,-0.0253351016728779,-0.0200856072170161,0.0412026227681699,0.0612882299851861
A01,3.5000000000000013,4.000000000000002,3.7500000000000018,0.0622500266813419,0.0357884458743631,-0.0264615808069787,-0.0525293747074247,0.0091928785905993,0.0617222532980241
A02,2.0,2.5,2.25,-0.0378357261931206,-0.0419696285878419,-0.0041339023947213,-0.0188433865441439,0.0150971708707252,0.0339405574148691
A02,2.1,2.6,2.35,0.0040839304638782,0.0408150897745048,0.0367311593106265,-0.0744688462868645,-0.0479333128085765,0.026535533478288
A02,2.2,2.7,2.45,0.0131471177786664,0.071466230327214,0.0583191125485476,-0.0820098519363391,-0.0436800741841666,0.0383297777521724
A02,2.3000000000000003,2.8000000000000003,2.5500000000000003,0.0406591334974479,0.0813977946523405,0.0407386611548925,-0.016706483755848,0.0159609724209862,0.0326674561768342
A02,2.4000000000000004,2.9000000000000004,2.6500000000000004,0.0678577580456796,0.1163567568985481,0.0484989988528685,0.0317565879402852,0.0866176738135477,0.0548610858732624
A02,2.5000000000000004,3.0000000000000004,2.7500000000000004,0.0438819979587916,0.0820700208967466,0.0381880229379549,0.0812995982589395,0.1852726327124244,0.1039730344534849
A02,2.6000000000000005,3.1000000000000005,2.8500000000000005,0.0596400188460946,0.1039632758086477,0.0443232569625531,0.0843437667066804,0.2311582529139139,0.1468144862072334
A02,2.7000000000000006,3.2000000000000006,2.9500000000000006,0.070874679637462,0.0847911278688495,0.0139164482313875,0.0356853487856422,0.1571204888795409,0.1214351400938987
A02,2.8000000000000007,3.3000000000000007,3.0500000000000007,0.1465887325151092,0.1790666708335785,0.0324779383184693,0.0562570650887356,0.1499241628325363,0.0936670977438006
A02,2.900000000000001,3.400000000000001,3.150000000000001,0.0635460909845005,0.1177935165534053,0.0542474255689048,0.0315383531815176,0.1277302364125385,0.0961918832310208
A02,3.000000000000001,3.500000000000001,3.250000000000001,0.0385030563110374,0.0540524285565517,0.0155493722455142,0.0123718790103326,0.1130443944366577,0.100672515426325
A02,3.100000000000001,3.600000000000001,3.350000000000001,0.0655525333777045,0.0825342066790379,0.0169816733013334,0.0433563593109032,0.1040107927757467,0.0606544334648435
A02,3.200000000000001,3.700000000000001,3.450000000000001,0.0657232406542619,0.1026874920188199,0.0369642513645579,0.0693519563180697,0.1070277410678629,0.0376757847497932
A02,3.300000000000001,3.800000000000001,3.550000000000001,0.0071418754072572,-0.0111388643574743,-0.0182807397647315,0.065920090269623,0.1140184735532659,0.0480983832836429
A02,3.400000000000001,3.900000000000001,3.650000000000001,-0.0361477501350108,-0.0915690255298951,-0.0554212753948842,-0.0030600764288735,0.0035704188694472,0.0066304952983207
A02,3.5000000000000013,4.000000000000002,3.7500000000000018,0.0371158091067536,-0.0060325861359032,-0.0431483952426568,-0.073453548660959,-0.0805256020829618,-0.0070720534220027
A03,2.0,2.5,2.25,-0.0809065812194594,-0.1361054472515143,-0.0551988660320549,0.0246724221957358,-0.0014186141624076,-0.0260910363581435
