Subject,Delta_Alpha_Mu_R2,Delta_Beta_R2,Delta_Gamma_R2,Delta_Theta_R2,Delta_Overall_R2,Optimal_Lambda,All_Clean_Accuracy_Improvement,All_Clean_F1_Improvement,Theta_Clean_Accuracy_Improvement,Theta_Clean_F1_Improvement,Alpha_Mu_Clean_Accuracy_Improvement,Alpha_Mu_Clean_F1_Improvement,Beta_Clean_Accuracy_Improvement,Beta_Clean_F1_Improvement,Gamma_Clean_Accuracy_Improvement,Gamma_Clean_F1_Improvement
A01,0.0295862868760327,0.047101222862827,0.0667229116828805,-0.0471552780865337,0.0240637858338016,0.0,-0.0355871886120996,-0.0453315571667178,-0.0249110320284697,-0.034067597698438,-0.0391459074733095,-0.0514802244887697,-0.0142348754448398,-0.0158556599655314,0.0,-0.0042929546616553
A02,0.0123729747408106,0.0370744002947483,0.0598688510049481,-0.0569048816171729,0.0131028361058335,0.0,0.0247349823321555,0.029886472664149,-0.0212014134275617,-0.0305566706370922,-0.0388692579505299,-0.0396981478194636,-0.0106007067137808,-0.0091542572457041,0.0,-0.0008520026836669
A03,0.0482780897246012,0.0642117473843783,0.0222126300277073,-0.0306141050538108,0.026022090520719,0.0,0.010989010989011,-0.0014838274201216,-0.0366300366300366,-0.0529301327836964,-0.0402930402930402,-0.0670456230721185,0.0146520146520147,0.0084548194604718,0.0146520146520147,0.0170409494416584
A04,0.0415172481218911,0.0491384800385508,0.0720598760322497,-0.0645321403842911,0.0245458659521001,0.5,0.0701754385964913,0.0758507224690858,0.030701754385965,0.0337449074843699,0.074561403508772,0.0767658995413467,-0.0263157894736841,-0.0252189584450074,0.0219298245614035,0.026477866046526
A05,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.07634625503888,-0.0141589614041177,1.0,0.0289855072463768,0.0407917273134869,-0.003623188405797,0.0090164664139083,0.0688405797101449,0.1342046410972302,0.0615942028985507,0.1318357884414089,-0.0253623188405796,-0.0010316250442126
A06,0.0485639639307901,0.0306761978730331,0.0619170119480163,-0.0350666892217964,0.0265226211325107,0.25,0.0139534883720929,0.011524044117987,-0.0418604651162791,-0.0491460563392157,0.0465116279069767,0.045262296178642,-0.0930232558139534,-0.0883611971459503,-0.0883720930232557,-0.0972919149411428
A07,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.0542130382238494,-0.0122874675275699,1.0,0.0324909747292417,0.0242744365035662,0.0577617328519855,0.0539385230101997,0.0902527075812274,0.0898121246687621,0.0902527075812274,0.0933902879839957,0.0794223826714801,0.0796615711844128
A08,0.048357201919159,0.0419850918476684,0.061372373261159,-0.0474019023448395,0.0260781911707867,0.0,0.033210332103321,0.0240927902489979,0.025830258302583,0.0171201875933245,-0.066420664206642,-0.0627680617701625,0.007380073800738,-0.0150469455247307,-0.0110701107011069,-0.0193053413355169
A09,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.0751396460088394,-0.016914962702813,0.25,0.0795454545454545,0.0803498848905676,0.0075757575757575,0.0068453678634666,0.0378787878787879,0.0353342755719179,0.0416666666666667,0.0449567755940046,0.0606060606060606,0.0588910246280138
