Feature,Outcome,Linear_R2,Quadratic_R2,Delta_R2,Linear_RMSE,Quadratic_RMSE,Delta_RMSE,Quadratic_Linear_Coefficient,Quadratic_Squared_Coefficient
EOG_Gamma_R2,Delta_Accuracy,0.124083527687034,0.2040579144617871,0.0799743867747531,0.0267235564513084,0.0254743811438131,-0.0012491753074953,-0.0021764969508887,1.859216845729255e-05
EOG_Gamma_R2,Delta_F1,0.0577131356157895,0.0756107457946987,0.0178976101789092,0.0334218760891419,0.0331029501757056,-0.0003189259134363,-0.0013474318030056,1.0605434275813672e-05
Delta_Theta_R2,Delta_Accuracy,6.310066691717076e-05,0.0025580884728843,0.0024949878059671,0.0285528330148557,0.0285171890338875,-3.5643980968239064e-05,0.7320629457099046,6.601060627190607
Delta_Theta_R2,Delta_F1,0.0377422465744659,0.0722438819340869,0.034501635359621,0.033774191832942,0.0331631801195664,-0.0006110117133756,2.773345087805629,29.59890852216295
Delta_Alpha_Mu_R2,Delta_Accuracy,0.3227500528842419,0.8731881431845028,0.5504380903002608,0.0234983516091535,0.0101681709447573,-0.0133301806643961,-0.9966648852045829,31.048676260744447
Delta_Alpha_Mu_R2,Delta_F1,0.5121918691985285,0.981067126109644,0.4688752569111155,0.0240471589285454,0.0047374815025841,-0.0193096774259612,-1.3127580236204952,34.553644049210625
Gamma_Relative_Power,Delta_Accuracy,0.0269003006367234,0.0746555394725626,0.0477552388358392,0.0281670637829773,0.0274672147334311,-0.0006998490495461,-0.0092946470024951,0.0004976943170962
Gamma_Relative_Power,Delta_F1,0.0343573526195405,0.0593200458127992,0.0249626931932587,0.0338335427175239,0.033393366262856,-0.0004401764546679,-0.008856757379123,0.000433884602934
