Subject,Pair,Raw_Centroid_Distance,Clean_Centroid_Distance,Delta_Centroid_Distance,Delta_Accuracy,Delta_F1
A01,Left_vs_Right,4.040229050035185,4.935160514958868,0.8949314649236833,0.0035587188612099,0.0055484057131928
A01,Left_vs_Feet,8.857433648199832,8.485664667154278,-0.3717689810455535,0.0035587188612099,0.0055484057131928
A01,Left_vs_Tongue,11.07074362302986,10.02768262568575,-1.04306099734411,0.0035587188612099,0.0055484057131928
A01,Right_vs_Feet,11.282309188299084,9.554777171314678,-1.7275320169844068,0.0035587188612099,0.0055484057131928
A01,Right_vs_Tongue,13.608026456788227,11.74645194514004,-1.861574511648186,0.0035587188612099,0.0055484057131928
A01,Feet_vs_Tongue,3.045504626056376,3.1931111511572103,0.1476065251008345,0.0035587188612099,0.0055484057131928
A02,Left_vs_Right,2.927211581545579,2.653967606494784,-0.2732439750507951,-0.0459363957597173,-0.072269904614932
A02,Left_vs_Feet,3.196694495724796,2.6857822054316545,-0.5109122902931409,-0.0459363957597173,-0.072269904614932
A02,Left_vs_Tongue,2.9103016805357447,3.230798285759012,0.3204966052232674,-0.0459363957597173,-0.072269904614932
A02,Right_vs_Feet,2.6111850958348803,1.8067607288592344,-0.8044243669756459,-0.0459363957597173,-0.072269904614932
A02,Right_vs_Tongue,2.170819802917736,1.9657728703799608,-0.2050469325377752,-0.0459363957597173,-0.072269904614932
A02,Feet_vs_Tongue,2.8815576171790744,1.9821651724841456,-0.8993924446949288,-0.0459363957597173,-0.072269904614932
A03,Left_vs_Right,7.1322064981520406,7.780820384491335,0.6486138863392945,0.0293040293040293,0.0240680882079373
A03,Left_vs_Feet,6.765771913046642,7.14665506845167,0.3808831554050282,0.0293040293040293,0.0240680882079373
A03,Left_vs_Tongue,10.802686448518864,10.533148839452553,-0.2695376090663099,0.0293040293040293,0.0240680882079373
A03,Right_vs_Feet,5.903628146230378,6.801823345547499,0.8981951993171204,0.0293040293040293,0.0240680882079373
A03,Right_vs_Tongue,10.452523726185213,10.079305299961144,-0.373218426224069,0.0293040293040293,0.0240680882079373
A03,Feet_vs_Tongue,6.263380236423341,5.931206885974018,-0.3321733504493229,0.0293040293040293,0.0240680882079373
A04,Left_vs_Right,2.05983406919185,2.5788075055548934,0.5189734363630434,0.0263157894736842,0.0305260012839133
A04,Left_vs_Feet,8.39878935536109,8.204216420876323,-0.1945729344847677,0.0263157894736842,0.0305260012839133
A04,Left_vs_Tongue,8.051312595674807,8.402210841636485,0.3508982459616785,0.0263157894736842,0.0305260012839133
A04,Right_vs_Feet,7.852077509251222,7.535110623318089,-0.3169668859331329,0.0263157894736842,0.0305260012839133
A04,Right_vs_Tongue,7.430820005986455,7.594462946203721,0.1636429402172652,0.0263157894736842,0.0305260012839133
A04,Feet_vs_Tongue,4.067953736649409,3.4421677604833363,-0.6257859761660729,0.0263157894736842,0.0305260012839133
A05,Left_vs_Right,3.248748185454462,2.5153186412411146,-0.7334295442133474,0.003623188405797,0.0021250771814932
A05,Left_vs_Feet,3.0609860128919792,3.440675853569952,0.3796898406779729,0.003623188405797,0.0021250771814932
A05,Left_vs_Tongue,2.45438715259594,2.686252618040671,0.2318654654447312,0.003623188405797,0.0021250771814932
A05,Right_vs_Feet,3.937718017234512,3.703396206553632,-0.2343218106808793,0.003623188405797,0.0021250771814932
A05,Right_vs_Tongue,2.841572811615068,2.8095547213277228,-0.0320180902873445,0.003623188405797,0.0021250771814932
A05,Feet_vs_Tongue,2.7775580177319537,3.927795200207666,1.1502371824757125,0.003623188405797,0.0021250771814932
A06,Left_vs_Right,4.1111487106070665,2.923946359223573,-1.187202351383493,0.0325581395348837,0.0338335222601428
A06,Left_vs_Feet,4.421187837767932,5.173489233835574,0.7523013960676419,0.0325581395348837,0.0338335222601428
A06,Left_vs_Tongue,4.855915943714465,6.786114724047096,1.9301987803326304,0.0325581395348837,0.0338335222601428
A06,Right_vs_Feet,4.777259000365517,4.229144876493888,-0.5481141238716294,0.0325581395348837,0.0338335222601428
A06,Right_vs_Tongue,5.877368209763152,5.776768651399892,-0.1005995583632604,0.0325581395348837,0.0338335222601428
A06,Feet_vs_Tongue,3.741750750131187,3.923769848028279,0.1820190978970917,0.0325581395348837,0.0338335222601428
A07,Left_vs_Right,2.596242781790485,2.552624679997317,-0.043618101793168,0.075812274368231,0.0728790752760605
A07,Left_vs_Feet,6.110657709585557,8.015337748883912,1.9046800392983547,0.075812274368231,0.0728790752760605
A07,Left_vs_Tongue,7.949114821898385,8.023665374468393,0.0745505525700087,0.075812274368231,0.0728790752760605
A07,Right_vs_Feet,6.5305486897775005,9.446727305559737,2.916178615782236,0.075812274368231,0.0728790752760605
A07,Right_vs_Tongue,8.340940390856932,9.28534960421124,0.9444092133543088,0.075812274368231,0.0728790752760605
A07,Feet_vs_Tongue,4.025079434194919,4.622149386368408,0.5970699521734888,0.075812274368231,0.0728790752760605
A08,Left_vs_Right,9.311758913594868,9.995035570193956,0.6832766565990909,0.029520295202952,0.0177235029345567
A08,Left_vs_Feet,4.896459712714533,6.006785570839996,1.1103258581254627,0.029520295202952,0.0177235029345567
A08,Left_vs_Tongue,9.388627503006932,9.328349753394448,-0.0602777496124851,0.029520295202952,0.0177235029345567
A08,Right_vs_Feet,5.9460553837323005,5.570027022694183,-0.3760283610381174,0.029520295202952,0.0177235029345567
