Subject,EEG_Channel_Index,EOG_Left_Beta,EOG_Central_Beta,EOG_Right_Beta,Intercept
A01,0,0.2566107743033949,0.3947169456215723,0.2488861208644042,0.0077497668565243
A01,1,0.3701913572813909,0.2664096286111576,0.1528509783646405,0.0012626527219816
A01,2,0.3139939997307312,0.2888055612424638,0.2114125015306074,0.0037946915059776
A01,3,0.2751772569134962,0.3000555434481385,0.2668785637873282,8.954292902548987e-05
A01,4,0.2251551096367159,0.2882330987997733,0.3174904334980129,0.0041697383516103
A01,5,0.1793170173522952,0.2676963364939579,0.3825375554595311,0.0032102311297155
A01,6,0.3602266598082072,0.1306772066251731,0.0663621818646341,0.0058287001938309
A01,7,0.3088634017654276,0.1792415311535151,0.134107382864289,-0.0016130990639446
A01,8,0.2767375910214411,0.2149393161910342,0.1978667053898823,-0.002675917042756
A01,9,0.2577628617638773,0.2231474461275985,0.2632338280043954,-0.0080988177229993
A01,10,0.1998865175064261,0.2203025834038395,0.3100564803909741,-0.0024981236244699
A01,11,0.1486318099855619,0.1836449253502468,0.3707553231845653,-0.0037171977314503
A01,12,0.0992741074081437,0.1401996483673441,0.4530095086264942,0.0025779392228342
A01,13,0.2241428589666007,0.1309130512458312,0.1180285462393141,-0.0022682368053364
A01,14,0.2131656937144553,0.1564082603774892,0.1855823364307968,-0.006156561818397
A01,15,0.1984443615841523,0.1602188470748233,0.233437648503105,-0.0131611637144755
A01,16,0.1592131278699023,0.1536770891162766,0.3019713076917117,-0.0067982232124588
A01,17,0.1132043964806694,0.1315413437140172,0.3503591968601963,-0.0019981004044114
A01,18,0.1451740001627766,0.1044752659356842,0.1646202704817129,-0.0068753086470041
A01,19,0.1407066058557449,0.1124410425011628,0.2195903185442604,-0.0102116501308788
A01,20,0.1091288591986333,0.1064864333480462,0.2557648980201051,-0.0041484491869172
A01,21,0.0770539153794576,0.0812409508945001,0.1825773758875772,-0.0044403101250314
A02,0,0.1956188829817731,0.2596227550103396,0.4442530360208312,-0.0019935125460493
A02,1,0.2902270902142889,0.1417724675628507,0.3431814212436002,-0.0036892591804046
A02,2,0.2364894376192174,0.1428719063063475,0.4419790859268527,-0.0037476061444554
A02,3,0.2048454553904783,0.1429611049824233,0.513249339286907,-0.0040709559148533
A02,4,0.1670417565929806,0.1280477427493125,0.5477092082460017,-0.0031025151976653
A02,5,0.1349724672952993,0.1146595678210218,0.6078446651300647,-0.0041560256784736
A02,6,0.2942697191283476,0.065349236537588,0.2150892270698855,0.0023995184627863
A02,7,0.2475403525602612,0.0781523845441341,0.3491739744062538,-0.0011565906779471
A02,8,0.2117101614273932,0.0863334675332661,0.4493599679709121,-0.0058158436891954
A02,9,0.1891395041749348,0.0778537278589435,0.5268741545978324,-0.0070086173440276
A02,10,0.1572470157754991,0.0762111811099589,0.5651748539666502,-0.0054561181313945
A02,11,0.1314096205413485,0.0597041667439564,0.6120980121843554,-0.0027307951398146
A02,12,0.1004588105360694,0.0384416750766964,0.652325740064377,-0.0006660645040888
A02,13,0.1891744763443408,0.050027969412727,0.363953323341345,-0.0012585552935639
A02,14,0.1720652809519766,0.0543518978746032,0.4409342855271402,-0.0053563949186091
A02,15,0.1565775372015775,0.0462070583367474,0.5014851761109831,-0.006734757770611
A02,16,0.1376229004850171,0.0448235558132337,0.5373194353002971,-0.0052024880097175
A02,17,0.1182670345475875,0.0381191605292918,0.5761203920625302,-0.0027321827299232
A02,18,0.1304505484335419,0.0344567666955509,0.4026373123384106,-0.0051806858510552
A02,19,0.1290891654703645,0.0333629122167344,0.4687648565672558,-0.0064309399767025
A02,20,0.1122019978178288,0.0284166964764511,0.4958035163467102,-0.0052471729676111
A02,21,0.0935546400760896,0.0209156657896006,0.4224272459266142,-0.0060205852377649
A03,0,0.2452510430195104,0.4701383658954183,0.2608746106195538,0.0012048706469993
A03,1,0.4114921835271158,0.3135914336516629,0.1725439498298779,-0.0057165501407333
A03,2,0.3567750862675817,0.3220274841010758,0.2365238279770945,-0.0017903556685635
A03,3,0.2986413927010201,0.320947511605354,0.3226482267715197,0.001212689130764
A03,4,0.2422115961859182,0.2929872364501736,0.4007558655159536,0.0063118957376384
A03,5,0.1991325245887913,0.2644444435686985,0.4815030704699155,0.0059831412540165
A03,6,0.5099033846420199,0.1639785607595223,0.1484369510121043,-0.0030922516639005
A03,7,0.4379959163598432,0.2049969769945125,0.1755152728947006,-0.006872979515905
A03,8,0.3749258787964736,0.2228509391421987,0.2596175090954102,-0.0018569723365415
A03,9,0.3124101762442301,0.2156885831738189,0.3658599589935113,0.0009300635234327
A03,10,0.2444117105588491,0.1920421594621528,0.4492972534967272,0.0058790726553355
A03,11,0.194897588656479,0.1506424867732397,0.5486519149050714,0.0095767112556245
A03,12,0.2071646908619034,0.1019151537835501,0.5919617567918156,0.016320854472788
A03,13,0.396022797044559,0.1474270805528175,0.2223663696313983,-0.0014252286314202
A03,14,0.3399951571547326,0.1579421817449389,0.2919221254762296,0.0009608721608125
A03,15,0.2819289228482693,0.1466230599494999,0.3942788320007848,0.0039089760682105
A03,16,0.21861390816524,0.1267442103554746,0.4902033732005043,0.0081580840232262
A03,17,0.171460537102,0.0959722656965096,0.5732800183752115,0.0114832524892895
A03,18,0.2995854820450003,0.1104950967869887,0.3409543713007594,0.0074898051615593
A03,19,0.2532009707655592,0.1058132938674796,0.4165245936654458,0.0100429361757721
A03,20,0.2061489213860432,0.0810780725896008,0.4852243303521347,0.0132934915046003
A03,21,0.2293277247575675,0.0719705365666271,0.4175898695441052,0.0164276924538267
A04,0,0.134987854555766,0.4803422220708582,0.1739987672803413,-0.0004744221544474
A04,1,0.1951849448673779,0.318730148103679,0.0957706706130944,0.0036398087746328
A04,2,0.1597945687284776,0.3437768811670356,0.1288419299728795,-0.0002262224087168
A04,3,0.1332973240750252,0.3578243376132146,0.1767293856975904,-0.001090143489947
A04,4,0.0816331780399171,0.3547895261318098,0.2146623985745366,-0.0001294917546689
A04,5,0.0562832836112256,0.3092505766876647,0.3095092291996191,0.0022554658535932
A04,6,0.1897803504685404,0.1597608989869197,0.0644808732176232,0.0130610767354074
A04,7,0.1406676483178518,0.2274780115331875,0.0732470077495151,0.008877472305282
A04,8,0.1070399384245858,0.2575789858528443,0.1226360948120766,0.0030240285976775
A04,9,0.0870286617785605,0.2611654817802023,0.1772137930148801,0.0008387992987797
A04,10,0.0413712415101328,0.2560629960350882,0.2214011877300874,0.0036031075349076
A04,11,0.0143454889379767,0.2133096922845008,0.2942343222037103,0.0069445663683113
A04,12,0.0002266798638893,0.1507425828808961,0.3639237942806969,0.0089318979094491
A04,13,0.0547141517724116,0.1659446473143627,0.0737096287783884,0.0124120089870875
A04,14,0.0304700207204674,0.2022613236620211,0.088617063177747,0.0064355205434101
A04,15,0.0124480251814419,0.1957144174415291,0.1419813559011528,0.0076632150647118
