Feature,Outcome,Full_Pearson_r,LOO_Min_r,LOO_Max_r,LOO_Mean_r,LOO_SD_r,LOO_Positive_Fraction
EOG_Gamma_R2,Delta_Accuracy,-0.3522549186129755,-0.4892967615683233,0.110418842318357,-0.329702010973459,0.1858329204981939,0.1111111111111111
EOG_Gamma_R2,Delta_F1,-0.2402355835753513,-0.3862363024620311,0.1344283271279437,-0.2310632971264001,0.1597805196021881,0.1111111111111111
Delta_Theta_R2,Delta_Accuracy,0.0079435928217207,-0.1018433367567315,0.2074012344207348,0.0099155673162244,0.0872005864829238,0.5555555555555556
Delta_Theta_R2,Delta_F1,-0.1942736383930306,-0.3361107868387752,0.1785257660516975,-0.1870481278371808,0.1480021853122189,0.1111111111111111
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.5681109512095694,-0.6603112385571548,-0.2366334223473119,-0.5527412310186204,0.1296721824791257,0.0
Delta_Alpha_Mu_R2,Delta_F1,-0.7156758129198783,-0.79904432400948,-0.5585401569165369,-0.7057041237218711,0.0858084777300108,0.0
Gamma_Relative_Power,Delta_Accuracy,-0.1640131111732333,-0.3455055278351625,0.1311459337325111,-0.1667579017480108,0.1320805323319897,0.1111111111111111
Gamma_Relative_Power,Delta_F1,-0.1853573646218045,-0.3187109636283253,0.0091320178075441,-0.1919525012204945,0.0956791780426706,0.1111111111111111
