Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Beta_Power,Clean_Beta_Power,Delta_Beta_Power,Delta_Beta_Percent,Hand_Raw_Beta,Hand_Clean_Beta,Hand_Delta_Beta_Percent,NonHand_Raw_Beta,NonHand_Clean_Beta,NonHand_Delta_Beta_Percent,Delta_Accuracy,Delta_F1
A01,C3,0.0,0.5,0.25,13.17443326344819,10.24171967597439,-2.932713587473801,-22.260643238525248,13.21967594660924,10.532187074448167,-20.32946104741997,13.128867418264566,9.949177510368655,-24.219072419547803,-0.02491103202846978,-0.027914278507571
A01,C3,0.1,0.6,0.35,13.106774906250985,9.44750685852201,-3.6592680477289754,-27.9189050998638,13.53551053174622,9.975578938994614,-26.300682079202954,12.674976883430785,8.915662834617459,-29.659336528870877,-0.02491103202846978,-0.027914278507571
A01,C3,0.2,0.7,0.44999999999999996,12.839937161145839,8.962287681333992,-3.877649479811847,-30.19991010194169,12.814036402226774,8.974647173154686,-29.962371797265174,12.866022925485757,8.949839907428867,-30.438178454505078,-0.02491103202846978,-0.027914278507571
A01,C3,0.30000000000000004,0.8,0.55,11.647779546872547,8.360916835941616,-3.286862710930931,-28.218792240221102,11.234313532859707,8.0248790777064,-28.56814032976648,12.064198889556907,8.699354863878517,-27.891151799487403,-0.02491103202846978,-0.027914278507571
A01,C3,0.4,0.9,0.65,12.206130853419827,8.791138111275941,-3.4149927421438857,-27.977684191277515,11.360626690153422,8.206067089065744,-27.767478741483732,13.057674332138134,9.380388212216214,-28.161876505613392,-0.02491103202846978,-0.027914278507571
A01,C3,0.5,1.0,0.75,13.834171324986983,9.814293157497533,-4.01987816748945,-29.057600004048183,13.021278318837988,9.265700695445668,-28.84185048067896,14.652870709751326,10.366804137135484,-29.250695358715696,-0.02491103202846978,-0.027914278507571
A01,C3,0.6000000000000001,1.1,0.8500000000000001,14.004945556493345,9.825532683396052,-4.179412873097293,-29.84240714280765,13.766622252381614,9.655412120254077,-29.863608202195724,14.244971169920158,9.99686839341761,-29.821771668256435,-0.02491103202846978,-0.027914278507571
A01,C3,0.7000000000000001,1.2000000000000002,0.9500000000000002,13.036873925035136,9.256036922669118,-3.7808370023660185,-29.001101215725907,12.716173975374975,9.017122492202509,-29.089343149407394,13.359864588621441,9.496657884781918,-28.916510928784454,-0.02491103202846978,-0.027914278507571
A01,C3,0.8,1.3,1.05,12.858964973271592,9.316814533782576,-3.5421504394890153,-27.546155128749973,12.544337368340942,9.093256633114061,-27.51106442606227,13.175839918237461,9.541969276598726,-27.579802609842574,-0.02491103202846978,-0.027914278507571
A01,C3,0.9,1.4,1.15,13.411678671994068,9.68751254477827,-3.7241661272157973,-27.768083461412687,12.854819070466176,9.281211600151325,-27.799749266990307,13.9725158421043,10.096715639009695,-27.738742592192327,-0.02491103202846978,-0.027914278507571
A01,C3,1.0,1.5,1.25,13.264880255336251,9.585231100296715,-3.6796491550395363,-27.73978418357204,12.620804911421395,9.21574649619606,-26.979724661965694,13.913556137421924,9.957354880140944,-28.434148812900357,-0.02491103202846978,-0.027914278507571
A01,C3,1.1,1.6,1.35,12.195553999977458,8.757563594771394,-3.4379904052060635,-28.19052258890755,11.721137239762177,8.606611948073692,-26.571869503608674,12.67335945133713,8.909593467516936,-29.698250083351734,-0.02491103202846978,-0.027914278507571
A01,C3,1.2000000000000002,1.7000000000000002,1.4500000000000002,13.305901825533766,9.497615952640649,-3.8082858728931175,-28.62102789293914,13.092743049500923,9.47850839881475,-27.60486963672553,13.520583164252564,9.51685998899387,-29.612059824788073,-0.02491103202846978,-0.027914278507571
A01,C3,1.3,1.8,1.55,13.02991499804629,9.263522969347033,-3.766392028699258,-28.905729847539234,13.416428365431349,9.49562189805178,-29.22392130443512,12.640640820894195,9.029766191151536,-28.565597906825317,-0.02491103202846978,-0.027914278507571
A01,C3,1.4000000000000001,1.9000000000000001,1.6500000000000001,13.066740183420054,9.37337301221142,-3.6933671712086333,-28.26540605663088,13.714717735584763,9.774108264830684,-28.73270559939862,12.414134220168457,8.96977536493059,-27.745461698344105,-0.02491103202846978,-0.027914278507571
A01,C3,1.5,2.0,1.75,11.661217458679394,8.56455925049462,-3.096658208184774,-26.555187905186905,11.988044698253784,8.851611388490868,-26.16300980442439,11.332055738822332,8.275456740084117,-26.973031806282556,-0.02491103202846978,-0.027914278507571
A01,C3,1.6,2.1,1.85,11.460975397805345,8.480972170920397,-2.980003226884948,-26.001305503679788,11.450013606615677,8.603460536411427,-24.860695960741445,11.472015487503512,8.357608888533,-27.147859086862635,-0.02491103202846978,-0.027914278507571
A01,C3,1.7000000000000002,2.2,1.9500000000000002,11.986604800806209,8.64337444139642,-3.343230359409789,-27.891387219047438,11.546075711652875,8.302650177275673,-28.0911507543968,12.43028052631064,8.986532450260887,-27.704508106317626,-0.02491103202846978,-0.027914278507571
A01,C3,1.8,2.3,2.05,13.29226716180534,9.620734894649132,-3.6715322671562074,-27.6215653993637,12.521685256789615,8.84303362423528,-29.37824707388859,14.068353223285463,10.403991174137369,-26.04684422539922,-0.02491103202846978,-0.027914278507571
A01,C3,1.9000000000000001,2.4000000000000004,2.1500000000000004,12.029372683199554,9.12419991755757,-2.905172765641984,-24.15065890924971,12.040554637979211,8.835732703738184,-26.61689623609314,12.018110857314328,9.414727611475671,-21.66216701399634,-0.02491103202846978,-0.027914278507571
