Subject,Peak_Window_Center_s,Peak_Delta_Beta_Percent,Early_MI_Overlap_Mean_Delta_Beta_Percent,Early_MI_Overlap_Min,Early_MI_Overlap_Max,Delta_Accuracy,Delta_F1
A01,3.75,-36.029575080201425,-33.87806903612971,-36.029575080201425,-31.802392539965695,-0.02491103202846978,-0.027914278507571
A02,2.45,-71.49654598183817,-69.15757215858473,-69.88275239263383,-67.87568445065953,-0.03886925795052998,-0.02708237236913913
A03,2.45,-64.31068095042576,-62.960428329622054,-63.913250649738075,-61.90859066071044,-0.00366300366300365,-0.001569319265132707
A04,3.75,-21.33592997804672,-18.50122890398372,-21.33592997804672,-15.813663579757923,-0.02631578947368418,-0.027482121801537418
A05,2.45,-60.46454554963699,-59.703796876932586,-59.883796644524786,-59.53082719372447,0.021739130434782594,0.06250575637185948
A06,3.75,-29.43286769938648,-27.98830574016922,-29.43286769938648,-25.326033056672305,0.0,0.002460527644751187
A07,2.6500000000000004,-15.908080917194118,-13.080527809629222,-15.48865267680994,-11.2693981885264,0.06137184115523464,0.06590353977961971
A08,3.6500000000000004,-65.74906703280443,-64.71485167899117,-65.74906703280443,-63.454163865810564,0.0,-0.0021923887083538096
A09,3.75,-24.026858862471894,-22.725414276311383,-24.026858862471894,-20.86011039959064,-0.018939393939393923,-0.015270997623866744
