Subject,Early_MI_Beta_Change,Delta_Accuracy,Delta_F1
A01,-33.87806903612971,-0.02491103202846978,-0.027914278507571
A02,-69.15757215858473,-0.03886925795052998,-0.02708237236913913
A03,-62.960428329622054,-0.00366300366300365,-0.001569319265132707
A04,-18.50122890398372,-0.02631578947368418,-0.027482121801537418
A05,-59.703796876932586,0.021739130434782594,0.06250575637185948
A06,-27.98830574016922,0.0,0.002460527644751187
A07,-13.080527809629222,0.06137184115523464,0.06590353977961971
A08,-64.71485167899117,0.0,-0.0021923887083538096
A09,-22.725414276311383,-0.018939393939393923,-0.015270997623866744
