Channel,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
C3,0.018470097456146944,0.9623837216584616,0.15,0.7000942309691419
Cz,-0.26319490580189353,0.4938183972158042,0.11666666666666665,0.7650079429261462
C4,-0.22768253898644142,0.5557416629037252,0.16666666666666669,0.668231040071504
