Window_Center_s,Raw_Four_Class_D,Clean_Four_Class_D,Delta_Four_Class_D
0.25,0.008078555650243683,0.009096527186200562,0.0010179715359568782
0.35,0.012528211650822785,0.013257049922859174,0.0007288382720363903
0.44999999999999996,0.009678413242880919,0.00893634575032528,-0.0007420674925556385
0.55,0.008994702800150736,0.006573469305778279,-0.0024212334943724567
0.65,0.009649650721633384,0.010150749328808262,0.000501098607174878
0.75,0.011916848419873304,0.009880414655210097,-0.0020364337646632076
0.8500000000000001,0.009421274753987888,0.0077830073556443835,-0.0016382673983435052
0.9500000000000002,0.01029905733829389,0.011206775221595397,0.0009077178833015079
1.05,0.012279080874389166,0.011810255654378298,-0.0004688252200108673
1.15,0.011796194748173583,0.010410745865198582,-0.0013854488829750013
1.25,0.015268603457927458,0.01129111123674091,-0.003977492221186551
1.35,0.011395524014743332,0.010669507441032329,-0.0007260165737110045
1.4500000000000002,0.012653012506631612,0.011373040410668797,-0.0012799720959628157
1.55,0.014513289734348803,0.011303180583077147,-0.003210109151271656
1.6500000000000001,0.012340537339370143,0.01095464377248151,-0.0013858935668886357
1.75,0.010657986791868234,0.011397870276214394,0.0007398834843461602
1.85,0.010651848167686754,0.011507208463589576,0.0008553602959028223
1.9500000000000002,0.00810874698053011,0.00991397508360724,0.0018052281030771279
2.05,0.008532229392010244,0.012596207024490933,0.004063977632480689
2.1500000000000004,0.010588693885619853,0.01236739003915285,0.0017786961535329964
2.25,0.012664554607458998,0.01573699534082023,0.0030724407333612325
2.35,0.013406919176075128,0.011868140893589958,-0.001538778282485173
2.45,0.014942863432427598,0.017388553924057845,0.002445690491630246
2.5500000000000003,0.02002927421363136,0.02141244925376681,0.0013831750401354511
2.6500000000000004,0.017934239632958173,0.027270680142544294,0.009336440509586123
2.75,0.025568486046222142,0.038077150462037274,0.012508664415815132
2.85,0.030559860764737795,0.04619085372601455,0.01563099296127676
2.95,0.031739343049461244,0.04714996718864074,0.015410624139179504
3.0500000000000003,0.03422749425912914,0.04952862614034679,0.015301131881217647
3.1500000000000004,0.0353277108926433,0.04820441475036091,0.012876703857717619
3.25,0.033568935514848595,0.041236639180734315,0.007667703665885723
3.35,0.025007186053462745,0.035137114545695514,0.010129928492232772
3.45,0.022506969055464246,0.03255405818063662,0.010047089125172378
3.5500000000000003,0.02230078321654441,0.034541706926012335,0.012240923709467923
3.6500000000000004,0.021471029930323664,0.0325754842378107,0.011104454307487036
3.75,0.021514891362192083,0.030599186526524096,0.009084295164332016
