Contrast_Metric,Accuracy_Pearson_r,Accuracy_Pearson_p,Accuracy_Spearman_rho,Accuracy_Spearman_p,F1_Pearson_r,F1_Pearson_p,F1_Spearman_rho,F1_Spearman_p
Late_Four_Class_D_Change,-0.08921869260970872,0.8194464940123183,0.06694619270045785,0.8641266713551774,-0.14964020173252257,0.70078676477967,0.21666666666666667,0.5755148957119259
Late_Hand_vs_NonHand_D_Change,0.14696162157177714,0.7059484184342656,0.3765723339400754,0.3178226816985236,0.05064642228466362,0.8970442452265521,0.5,0.17047066078705375
Late_Left_vs_Right_D_Change,-0.17340507675222058,0.6554745870518163,-0.07531446678801507,0.8472940220818164,-0.21281261842725566,0.5824922092346471,-0.08333333333333334,0.831214097710308
Late_Left_vs_Others_D_Change,-0.07738930337448316,0.8431285361330826,0.050209644525343385,0.8979283954703233,-0.08687852726451373,0.824121973194391,0.19999999999999998,0.6059012741795533
Late_Right_vs_Others_D_Change,0.03345921823859302,0.9319009993758401,-0.15062893357603013,0.6988841292948215,-0.15198555499311292,0.6962759169682441,-0.11666666666666665,0.7650079429261462
