Channel,Raw_Four_Class_D,Clean_Four_Class_D,Delta_Four_Class_D
C3,0.01783232388756871,0.022440336446943134,0.00460801255937442
C4,0.017141070281888472,0.021155488798154286,0.004014418516265814
Cz,0.015203522803773354,0.018233466087956497,0.0030299432841831408
