Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Four_Class_D,Clean_Four_Class_D,Delta_Four_Class_D,Raw_Hand_vs_NonHand_D,Clean_Hand_vs_NonHand_D,Delta_Hand_vs_NonHand_D,Raw_Left_vs_Right_D,Clean_Left_vs_Right_D,Delta_Left_vs_Right_D,Raw_Left_vs_Others_D,Clean_Left_vs_Others_D,Delta_Left_vs_Others_D,Raw_Right_vs_Others_D,Clean_Right_vs_Others_D,Delta_Right_vs_Others_D,Delta_Accuracy,Delta_F1
A01,C3,0.0,0.5,0.25,0.011218769310345714,0.016418125665980002,0.005199356355634288,0.0023916195615495814,0.005749331047183946,0.0033577114856343645,6.267270659800496e-05,0.0005351137179263124,0.0004724410113283074,0.0010708087026481614,0.0009008391084288599,-0.00016996959421930143,0.0005576828839895063,0.0032900532332406657,0.0027323703492511597,-0.02491103202846978,-0.027914278507571
A01,C3,0.1,0.6,0.35,0.021219033696463364,0.027169692318358314,0.00595065862189495,0.017556671938382992,0.024059329133858637,0.006502657195475645,0.006164089270507633,0.004195171645976911,-0.001968917624530722,0.00097848690026493,0.0026772599338686824,0.0016987730336037524,0.014719383049770515,0.015945878187280167,0.0012264951375096523,-0.02491103202846978,-0.027914278507571
A01,C3,0.2,0.7,0.44999999999999996,0.008012012155687377,0.004836452560463221,-0.003175559595224156,0.006475508924279619,0.004363799315159309,-0.0021117096091203096,0.001747690084181947,0.0003662568293325419,-0.001381433254849405,0.00037522791507679684,0.0006938465314837163,0.0003186186164069195,0.005397605892645821,0.0024808371906488384,-0.0029167687019969824,-0.02491103202846978,-0.027914278507571
A01,C3,0.30000000000000004,0.8,0.55,0.007810776063389378,0.005314374680911319,-0.0024964013824780593,0.00018874977171262484,9.436189333136095e-05,-9.438787838126389e-05,0.009888812166419287,0.009253521855433607,-0.0006352903109856801,0.004855024032437667,0.0028217835564641495,-0.002033240475973517,0.002919841387404439,0.004181012919878599,0.00126117153247416,-0.02491103202846978,-0.027914278507571
A01,C3,0.4,0.9,0.65,0.008796276563386428,0.011647331666476128,0.0028510551030897,0.005238388867052954,0.005635151720500289,0.00039676285344733553,0.005119257516229216,0.0064160718936368275,0.0012968143774076115,1.0755697947136905e-07,9.602229739119968e-06,9.4946727596486e-06,0.006957773126707384,0.008102822039075787,0.0011450489123684031,-0.02491103202846978,-0.027914278507571
A01,C3,0.5,1.0,0.75,0.006467776011747337,0.011480126636852706,0.005012350625105369,0.005911209063675024,0.009996057028834002,0.004084847965158978,0.0011220046245434812,0.002837052367428403,0.0017150477428849217,0.0006556269483482388,0.0008255841480364092,0.0001699571996881704,0.003972654648768779,0.007477959695563461,0.003505305046794682,-0.02491103202846978,-0.027914278507571
A01,C3,0.6000000000000001,1.1,0.8500000000000001,0.0073627205531517186,0.005587548597364877,-0.001775171955786842,0.0003438179198615588,0.00022088012213075135,-0.00012293779773080743,0.0015010298041977755,0.0001164989173950887,-0.0013845308868026868,0.001144633565202887,5.489410167295908e-06,-0.001139144155035591,0.00015728777157496574,0.00021984687998565853,6.255910841069279e-05,-0.02491103202846978,-0.027914278507571
A01,C3,0.7000000000000001,1.2000000000000002,0.9500000000000002,0.004200710756054539,0.004212676878805018,1.1966122750478592e-05,0.000415766914320975,2.9253070379220314e-05,-0.00038651384394175465,0.0010317438689121708,9.139366467768936e-05,-0.0009403502042344815,0.0009967925986410927,5.814066083295757e-06,-0.000990978532557797,6.622747843396874e-05,7.526581328293449e-05,9.038334848965752e-06,-0.02491103202846978,-0.027914278507571
A01,C3,0.8,1.3,1.05,0.0040435821756273325,0.0035585388500915098,-0.0004850433255358228,0.0028509712983584784,0.0006622546311441076,-0.002188716667214371,0.0019745550281985856,0.005282593169958682,0.0033080381417600964,0.0034486461096578146,0.0034399121749481443,-8.733934709670259e-06,7.499371742693346e-06,0.0008467245980819307,0.0008392252263392374,-0.02491103202846978,-0.027914278507571
A01,C3,0.9,1.4,1.15,0.012309468280942582,0.012687430775535285,0.00037796249459270265,0.00019666288056990422,0.0005048917612498123,0.00030822888067990803,0.0018766685868873375,0.0004758666834045962,-0.0014008019034827414,0.0002636312806222753,0.0005984426536172785,0.0003348113729950032,0.0010588034998073098,1.95623323262249e-06,-0.0010568472665746873,-0.02491103202846978,-0.027914278507571
A01,C3,1.0,1.5,1.25,0.02032140791158738,0.019934382326702225,-0.00038702558488515684,0.0006876486751302972,0.002097700189587022,0.0014100515144567249,0.005159516920846233,0.004509579493302303,-0.0006499374275439297,0.0030462916452202336,0.004151428772647575,0.0011051371274273412,0.0006286339436747975,0.00013712061320485372,-0.0004915133304699438,-0.02491103202846978,-0.027914278507571
A01,C3,1.1,1.6,1.35,0.002460184530342023,0.005541623860763539,0.003081439330421516,0.0003648466970880013,2.3739562671082498e-05,-0.0003411071344169188,0.00010355359523022947,0.0034247799567066295,0.0033212263614764,0.0002990986979795254,0.0015218935206057667,0.0012227948226262414,2.2131270070356177e-05,0.0011257575836663516,0.0011036263135959954,-0.02491103202846978,-0.027914278507571
A01,C3,1.2000000000000002,1.7000000000000002,1.4500000000000002,0.005324899610465649,0.0006573365130161187,-0.00466756309744953,0.004669452630601067,0.0004613290442045327,-0.004208123586396535,0.0010798002128141978,0.00019511256167429412,-0.0008846876511399037,0.0035887801390780214,0.00042389962911405793,-0.0031648805099639635,0.00035102158974783214,1.716618328481754e-05,-0.0003338554064630146,-0.02491103202846978,-0.027914278507571
