Class,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Left_Hand,-0.7723322133932982,0.01471770210862148,-0.15256428831468236,0.6951640920239026
Right_Hand,0.045801232564576216,0.9068574511778092,-0.07531446678801507,0.8472940220818164
Feet,0.6515049197853525,0.057299340991626,0.6610936529170212,0.05252286046708899
Tongue,0.7861341787873656,0.011997837912108997,0.5462377744304117,0.12811401669706685
